Artist Nationality,artist_iso3,Country of Subject: ,iso3,artist_name,Author WikiLink,title,Keep,Nudity,image_url,work_url,Location Reason,Author Background,birth_date,death_date,birth_place,source,tags,More info,is_local,filepath,artwork_date,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,BEL,"Peter Paul Rubens (Flemish, 1577–1640)",,The Holy Family with Saints Elizabeth and John the Baptist,Mid,,"https://www.artic.edu/iiif/2/7c752046-744f-2f68-482b-a7fd42550f2b/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/7c752046-744f-2f68-482b-a7fd42550f2b/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungarian,HUN,Hungary,HUN,Pál Szinyei Merse,https://hu.wikipedia.org/wiki/Szinyei_Merse_P%C3%A1l,Mother and Children,Keep,,"https://www.artic.edu/iiif/2/5f575140-664b-74a0-ebdb-69823dfd7bab/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/5f575140-664b-74a0-ebdb-69823dfd7bab/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/HUN/children_artwork/Mother_and_Children.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Italy,ITA,"Jacopo Bassano (Italian, c. 1510-1592)",,Virgin and Child with the Young Saint John the Baptist,No,,"https://www.artic.edu/iiif/2/5c9cfee1-4287-1494-dcf6-4a967c734a44/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/5c9cfee1-4287-1494-dcf6-4a967c734a44/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Netherlands,NLD,"Jan Gossart (Netherlandish, c. 1478–1532)",,Virgin and Child,No,,"https://www.artic.edu/iiif/2/318b7761-6765-7273-36c6-2ebc1fb41e22/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/318b7761-6765-7273-36c6-2ebc1fb41e22/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch,NLD,Netherlands,NLD,Evert Pieters,https://en.wikipedia.org/wiki/Evert_Pieters,A Family Meal,Keep,,"https://www.artic.edu/iiif/2/d5b9b3c8-66b4-d061-43ee-307cc42e1ae6/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/d5b9b3c8-66b4-d061-43ee-307cc42e1ae6/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/NLD/children_artwork/A_Family_Meal.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Netherlands,NLD,"Adriaen de Lelie (Dutch, 1755–1820)",,Mother and Two Children with Still Life,No,,"https://www.artic.edu/iiif/2/fd8ca91a-497c-6619-648c-f0f8fa116bfd/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/fd8ca91a-497c-6619-648c-f0f8fa116bfd/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian,NOR,Norway,NOR,Edvard Munch,https://en.wikipedia.org/wiki/Edvard_Munch,The Girl by the Window,Keep,,"https://www.artic.edu/iiif/2/d7df2633-3b40-f570-c906-211503a37cde/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/d7df2633-3b40-f570-c906-211503a37cde/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/NOR/children_artwork/The_Girl_by_the_Window.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,RUS,Russia,RUS,Robert Genin,https://en.wikipedia.org/wiki/Robert_Genin,Thirst,Keep,Yes,"https://www.artic.edu/iiif/2/a0926588-779d-3440-adf6-881d15ddbf2f/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/a0926588-779d-3440-adf6-881d15ddbf2f/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/RUS/children_artwork/Thirst.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish,ESP,Spain,ESP,Pablo Picasso,https://en.wikipedia.org/wiki/Pablo_Picasso,Mother and Child,Keep,,"https://www.artic.edu/iiif/2/64734461-887d-80b9-8489-e38cb05ac01d/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/64734461-887d-80b9-8489-e38cb05ac01d/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/ESP/children_artwork/Mother_and_Child.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss,CHE,United Kingdom,GBR,Angelica Kauffmann,https://en.wikipedia.org/wiki/Angelica_Kauffman,Mrs. Hugh Morgan and Her Daughter,Keep,,"https://www.artic.edu/iiif/2/00df5b07-1d76-b1da-93ed-b98bb0700c3d/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/00df5b07-1d76-b1da-93ed-b98bb0700c3d/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/CHE/children_artwork/Mrs_Hugh_Morgan_and_Her_Daughter.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,USA,United States,USA,Mary Cassatt,https://en.wikipedia.org/wiki/Mary_Cassatt,Young Mother Nursing Her Child,Keep,Yes,"https://www.artic.edu/iiif/2/128c88c2-26a6-3ce4-830b-8578eb878cd9/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/128c88c2-26a6-3ce4-830b-8578eb878cd9/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/USA/children_artwork/Young_Mother_Nursing_Her_Child.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish,GBR,United Kingdom,GBR,Sir Henry Raeburn,https://en.wikipedia.org/wiki/Henry_Raeburn,Eleanor Margaret Gibson-Carmichael,Keep,,"https://www.artic.edu/iiif/2/9a93001d-887a-f34d-ecc2-83240e2ad54c/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/9a93001d-887a-f34d-ecc2-83240e2ad54c/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/GBR/children_artwork/Eleanor_Margaret_Gibson-Carmichael.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,GBR,United Kingdom,GBR,Emily Mary Osborn,https://en.wikipedia.org/wiki/Emily_Mary_Osborn,Mrs. Sturgis and Children,Keep,,"https://www.artic.edu/iiif/2/b2339068-ad1b-0df8-25fb-4ded3e1fb4e1/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/b2339068-ad1b-0df8-25fb-4ded3e1fb4e1/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/GBR/children_artwork/Mrs_Sturgis_and_Children.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,USA,United States,USA,Joshua Johnson,https://en.wikipedia.org/wiki/Joshua_Johnson_(painter),Elizabeth Grant Bankson Beatty (Mrs. James Beatty) and Her Daughter Susan,Keep,,"https://www.artic.edu/iiif/2/83802ee1-1682-6de0-7276-37c4ab3fa879/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/83802ee1-1682-6de0-7276-37c4ab3fa879/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/USA/children_artwork/Elizabeth_Grant_Bankson_Beatty_Mrs_James_Beatty_and_Her_Daughter_Susan.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,USA,United States,USA,Lilly Martin Spencer,https://en.wikipedia.org/wiki/Lilly_Martin_Spencer,This Little Pig Went to Market,Keep,,"https://www.artic.edu/iiif/2/b05d86ee-ecc4-c28c-3df3-0c2d65b6b1cb/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/b05d86ee-ecc4-c28c-3df3-0c2d65b6b1cb/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/USA/children_artwork/This_Little_Pig_Went_to_Market.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,USA,United States,USA,Charles Willson Peale,https://en.wikipedia.org/wiki/Charles_Willson_Peale,"Mrs. John Nicholson (Hannah Duncan) and John Nicholson, Jr.",Keep,,"https://www.artic.edu/iiif/2/de8b304b-8250-78cf-dfa2-5f91458b78f9/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/de8b304b-8250-78cf-dfa2-5f91458b78f9/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/USA/children_artwork/Mrs_John_Nicholson_Hannah_Duncan_and_John_Nicholson_Jr.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Albania,ALB,,,,No,,https://live.staticflickr.com/1284/4668751141_f04a09b65a_b.jpg,https://www.flickr.com/photos/library_of_congress/4668751141/in/photolist-5JL8xD-HPfb6u-5bv8GS-5AGqCT-8Gko6v-GWyE1e-8GoADw-7XoAh3-87yz4k-HSeAT8-8BF3Rc-7XkkYK-HSeWeT-k5H3Ws-gLcL8B-7ubpbo-7kuxfs-2fYYCcr-7ubpem-7VEdJz-5bqQRn-7XroYE-2rjiboP,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
