Entity,Code,Year,Child mortality rate
Afghanistan,AFG,1989,18.71
Afghanistan,AFG,1990,18.07
Afghanistan,AFG,1991,17.44
Afghanistan,AFG,2022,5.74
Afghanistan,AFG,2023,5.55
Africa,,1989,15.64
Africa,,1990,15.42
Africa,,1991,15.5
Africa,,2022,6.22
Africa,,2023,5.91
Albania,ALB,1989,4.28
Albania,ALB,1990,4.08
Albania,ALB,1991,3.9
Albania,ALB,2022,0.94
Albania,ALB,2023,0.94
Algeria,DZA,1989,5.3
Algeria,DZA,1990,5.17
Algeria,DZA,1991,5.09
Algeria,DZA,2022,2.23
Algeria,DZA,2023,2.2
Andorra,AND,1989,1.37
Andorra,AND,1990,1.31
Andorra,AND,1991,1.23
Andorra,AND,2022,0.27
Andorra,AND,2023,0.26
Angola,AGO,1989,22.28
Angola,AGO,1990,22.27
Angola,AGO,1991,22.25
Angola,AGO,2022,6.64
Angola,AGO,2023,6.4
Anguilla,AIA,1989,2.01
Anguilla,AIA,1990,1.9
Anguilla,AIA,1991,1.81
Anguilla,AIA,2022,0.59
Anguilla,AIA,2023,0.58
Antigua and Barbuda,ATG,1989,1.32
Antigua and Barbuda,ATG,1990,1.35
Antigua and Barbuda,ATG,1991,1.39
Antigua and Barbuda,ATG,2022,0.96
Antigua and Barbuda,ATG,2023,0.93
Argentina,ARG,1989,2.89
Argentina,ARG,1990,2.88
Argentina,ARG,1991,2.84
Argentina,ARG,2022,0.98
Argentina,ARG,2023,0.96
Armenia,ARM,1989,5.11
Armenia,ARM,1990,4.9
Armenia,ARM,1991,4.69
Armenia,ARM,2022,1.05
Armenia,ARM,2023,1
Asia,,1989,8.35
Asia,,1990,8.15
Asia,,1991,7.94
Asia,,2022,2.07
Asia,,2023,2
Australia,AUS,1989,0.97
Australia,AUS,1990,0.92
Australia,AUS,1991,0.87
Australia,AUS,2022,0.37
Australia,AUS,2023,0.37
Austria,AUT,1989,1
Austria,AUT,1990,0.95
Austria,AUT,1991,0.9
Austria,AUT,2022,0.32
Austria,AUT,2023,0.31
Azerbaijan,AZE,1989,9.52
Azerbaijan,AZE,1990,9.48
Azerbaijan,AZE,1991,9.5
Azerbaijan,AZE,2022,1.94
Azerbaijan,AZE,2023,1.86
Bahamas,BHS,1989,2.45
Bahamas,BHS,1990,2.34
Bahamas,BHS,1991,2.23
Bahamas,BHS,2022,1.29
Bahamas,BHS,2023,1.27
Bahrain,BHR,1989,2.32
Bahrain,BHR,1990,2.31
Bahrain,BHR,1991,2.27
Bahrain,BHR,2022,0.84
Bahrain,BHR,2023,0.86
Bangladesh,BGD,1989,15.22
Bangladesh,BGD,1990,14.6
Bangladesh,BGD,1991,13.98
Bangladesh,BGD,2022,3.07
Bangladesh,BGD,2023,3.06
Barbados,BRB,1989,1.89
Barbados,BRB,1990,1.81
Barbados,BRB,1991,1.73
Barbados,BRB,2022,1.04
Barbados,BRB,2023,1
Belarus,BLR,1989,1.55
Belarus,BLR,1990,1.52
Belarus,BLR,1991,1.52
Belarus,BLR,2022,0.26
Belarus,BLR,2023,0.24
Belgium,BEL,1989,1.03
Belgium,BEL,1990,1
Belgium,BEL,1991,0.96
Belgium,BEL,2022,0.37
Belgium,BEL,2023,0.36
Belize,BLZ,1989,4.18
Belize,BLZ,1990,3.93
Belize,BLZ,1991,3.69
Belize,BLZ,2022,1.28
Belize,BLZ,2023,1.27
Benin,BEN,1989,17.63
Benin,BEN,1990,17.22
Benin,BEN,1991,16.8
Benin,BEN,2022,8.04
Benin,BEN,2023,7.79
Bhutan,BTN,1989,13.39
Bhutan,BTN,1990,12.82
Bhutan,BTN,1991,12.28
Bhutan,BTN,2022,2.39
Bhutan,BTN,2023,2.31
Bolivia,BOL,1989,12.66
Bolivia,BOL,1990,12.17
Bolivia,BOL,1991,11.7
Bolivia,BOL,2022,2.39
Bolivia,BOL,2023,2.31
Bosnia and Herzegovina,BIH,1989,1.96
Bosnia and Herzegovina,BIH,1990,1.82
Bosnia and Herzegovina,BIH,1991,1.69
Bosnia and Herzegovina,BIH,2022,0.62
Bosnia and Herzegovina,BIH,2023,0.6
Botswana,BWA,1989,4.87
Botswana,BWA,1990,5.01
Botswana,BWA,1991,5.29
Botswana,BWA,2022,4.07
Botswana,BWA,2023,3.96
Brazil,BRA,1989,6.58
Brazil,BRA,1990,6.31
Brazil,BRA,1991,6.02
Brazil,BRA,2022,1.46
Brazil,BRA,2023,1.44
British Virgin Islands,VGB,1989,2.41
British Virgin Islands,VGB,1990,2.29
British Virgin Islands,VGB,1991,2.19
British Virgin Islands,VGB,2022,1.31
British Virgin Islands,VGB,2023,1.27
Brunei,BRN,1989,1.35
Brunei,BRN,1990,1.33
Brunei,BRN,1991,1.32
Brunei,BRN,2022,0.95
Brunei,BRN,2023,0.94
Bulgaria,BGR,1989,1.79
Bulgaria,BGR,1990,1.83
Bulgaria,BGR,1991,1.89
Bulgaria,BGR,2022,0.62
Bulgaria,BGR,2023,0.61
Burkina Faso,BFA,1989,19.98
Burkina Faso,BFA,1990,19.83
Burkina Faso,BFA,1991,19.76
Burkina Faso,BFA,2022,7.99
Burkina Faso,BFA,2023,7.73
Burundi,BDI,1989,16.89
Burundi,BDI,1990,16.98
Burundi,BDI,1991,17.11
Burundi,BDI,2022,5.08
Burundi,BDI,2023,4.92
Cambodia,KHM,1989,11.63
Cambodia,KHM,1990,11.63
Cambodia,KHM,1991,11.62
Cambodia,KHM,2022,2.38
Cambodia,KHM,2023,2.29
Cameroon,CMR,1989,13.63
Cameroon,CMR,1990,13.66
Cameroon,CMR,1991,13.82
Cameroon,CMR,2022,6.95
Cameroon,CMR,2023,6.72
Canada,CAN,1989,0.85
Canada,CAN,1990,0.82
Canada,CAN,1991,0.8
Canada,CAN,2022,0.51
Canada,CAN,2023,0.51
Cape Verde,CPV,1989,5.88
Cape Verde,CPV,1990,5.64
Cape Verde,CPV,1991,5.5
Cape Verde,CPV,2022,1.21
Cape Verde,CPV,2023,1.16
Central African Republic,CAF,1989,17.78
Central African Republic,CAF,1990,17.75
Central African Republic,CAF,1991,17.71
Central African Republic,CAF,2022,38.74
Central African Republic,CAF,2023,9.22
Chad,TCD,1989,21.45
Chad,TCD,1990,21.16
Chad,TCD,1991,20.88
Chad,TCD,2022,10.43
Chad,TCD,2023,10.11
Chile,CHL,1989,2.03
Chile,CHL,1990,1.91
Chile,CHL,1991,1.76
Chile,CHL,2022,0.68
Chile,CHL,2023,0.72
China,CHN,1989,5.39
China,CHN,1990,5.37
China,CHN,1991,5.31
China,CHN,2022,0.66
China,CHN,2023,0.62
Colombia,COL,1989,3.7
Colombia,COL,1990,3.57
Colombia,COL,1991,3.45
Colombia,COL,2022,1.24
Colombia,COL,2023,1.2
Comoros,COM,1989,12.57
Comoros,COM,1990,12.09
Comoros,COM,1991,11.61
Comoros,COM,2022,4.11
Comoros,COM,2023,3.98
Congo,COG,1989,9.05
Congo,COG,1990,9.15
Congo,COG,1991,9.31
Congo,COG,2022,4.19
Congo,COG,2023,4.05
Cook Islands,COK,1989,2.38
Cook Islands,COK,1990,2.37
Cook Islands,COK,1991,2.37
Cook Islands,COK,2022,1.39
Cook Islands,COK,2023,1.36
Costa Rica,CRI,1989,1.78
Costa Rica,CRI,1990,1.69
Costa Rica,CRI,1991,1.62
Costa Rica,CRI,2022,1.01
Costa Rica,CRI,2023,1.05
Cote d'Ivoire,CIV,1989,15.25
Cote d'Ivoire,CIV,1990,15.3
Cote d'Ivoire,CIV,1991,15.36
Cote d'Ivoire,CIV,2022,6.92
Cote d'Ivoire,CIV,2023,6.71
Croatia,HRV,1989,1.38
Croatia,HRV,1990,1.29
Croatia,HRV,1991,1.39
Croatia,HRV,2022,0.46
Croatia,HRV,2023,0.46
Cuba,CUB,1989,1.41
Cuba,CUB,1990,1.34
Cuba,CUB,1991,1.28
Cuba,CUB,2022,0.79
Cuba,CUB,2023,0.83
Cyprus,CYP,1989,1.12
Cyprus,CYP,1990,1.11
Cyprus,CYP,1991,1.09
Cyprus,CYP,2022,0.35
Cyprus,CYP,2023,0.35
Czechia,CZE,1989,1.25
Czechia,CZE,1990,1.21
Czechia,CZE,1991,1.17
Czechia,CZE,2022,0.27
Czechia,CZE,2023,0.26
Democratic Republic of Congo,COD,1989,18.77
Democratic Republic of Congo,COD,1990,18.53
Democratic Republic of Congo,COD,1991,18.31
Democratic Republic of Congo,COD,2022,7.57
Democratic Republic of Congo,COD,2023,7.32
Denmark,DNK,1989,0.93
Denmark,DNK,1990,0.89
Denmark,DNK,1991,0.84
Denmark,DNK,2022,0.35
Denmark,DNK,2023,0.34
Djibouti,DJI,1989,11.88
Djibouti,DJI,1990,11.63
Djibouti,DJI,1991,11.4
Djibouti,DJI,2022,5.22
Djibouti,DJI,2023,5.04
Dominica,DMA,1989,1.88
Dominica,DMA,1990,1.85
Dominica,DMA,1991,1.84
Dominica,DMA,2022,3.51
Dominica,DMA,2023,3.55
Dominican Republic,DOM,1989,6.19
Dominican Republic,DOM,1990,5.95
Dominican Republic,DOM,1991,5.7
Dominican Republic,DOM,2022,3.22
Dominican Republic,DOM,2023,3.14
East Timor,TLS,1989,22.96
East Timor,TLS,1990,22.54
East Timor,TLS,1991,22.16
East Timor,TLS,2022,5.14
East Timor,TLS,2023,5
Ecuador,ECU,1989,5.66
Ecuador,ECU,1990,5.39
Ecuador,ECU,1991,5.12
Ecuador,ECU,2022,1.32
Ecuador,ECU,2023,1.31
Egypt,EGY,1989,9.03
Egypt,EGY,1990,8.57
Egypt,EGY,1991,8.14
Egypt,EGY,2022,1.81
Egypt,EGY,2023,1.75
El Salvador,SLV,1989,6.28
El Salvador,SLV,1990,5.94
El Salvador,SLV,1991,5.61
El Salvador,SLV,2022,1.08
El Salvador,SLV,2023,1.04
Equatorial Guinea,GNQ,1989,18.01
Equatorial Guinea,GNQ,1990,17.87
Equatorial Guinea,GNQ,1991,17.72
Equatorial Guinea,GNQ,2022,7.34
Equatorial Guinea,GNQ,2023,7.06
Eritrea,ERI,1989,15.99
Eritrea,ERI,1990,15.36
Eritrea,ERI,1991,14.65
Eritrea,ERI,2022,3.66
Eritrea,ERI,2023,3.54
Estonia,EST,1989,1.79
Estonia,EST,1990,1.77
Estonia,EST,1991,1.75
Estonia,EST,2022,0.22
Estonia,EST,2023,0.21
Eswatini,SWZ,1989,6.93
Eswatini,SWZ,1990,6.75
Eswatini,SWZ,1991,6.72
Eswatini,SWZ,2022,4.62
Eswatini,SWZ,2023,4.5
Ethiopia,ETH,1989,20.62
Ethiopia,ETH,1990,20.17
Ethiopia,ETH,1991,19.67
Ethiopia,ETH,2022,4.82
Ethiopia,ETH,2023,4.65
Europe,,1989,1.55
Europe,,1990,1.5
Europe,,1991,1.46
Europe,,2022,0.44
Europe,,2023,0.42
European Union (27),,1989,1.23
European Union (27),,1990,1.18
European Union (27),,1991,1.14
European Union (27),,2022,0.38
European Union (27),,2023,0.37
Fiji,FJI,1989,3
Fiji,FJI,1990,2.89
Fiji,FJI,1991,2.78
Fiji,FJI,2022,2.89
Fiji,FJI,2023,2.91
Finland,FIN,1989,0.69
Finland,FIN,1990,0.67
Finland,FIN,1991,0.64
Finland,FIN,2022,0.23
Finland,FIN,2023,0.23
France,FRA,1989,0.93
France,FRA,1990,0.9
France,FRA,1991,0.86
France,FRA,2022,0.43
France,FRA,2023,0.43
Gabon,GAB,1989,8.64
Gabon,GAB,1990,8.49
Gabon,GAB,1991,8.35
Gabon,GAB,2022,3.41
Gabon,GAB,2023,3.32
Gambia,GMB,1989,17.19
Gambia,GMB,1990,16.61
Gambia,GMB,1991,16.04
Gambia,GMB,2022,4.56
Gambia,GMB,2023,4.41
Georgia,GEO,1989,4.78
Georgia,GEO,1990,4.75
Georgia,GEO,1991,4.72
Georgia,GEO,2022,0.93
Georgia,GEO,2023,0.92
Germany,DEU,1989,0.9
Germany,DEU,1990,0.85
Germany,DEU,1991,0.8
Germany,DEU,2022,0.37
Germany,DEU,2023,0.37
Ghana,GHA,1989,13.26
Ghana,GHA,1990,12.75
Ghana,GHA,1991,12.33
Ghana,GHA,2022,3.85
Ghana,GHA,2023,3.71
Greece,GRC,1989,1.11
Greece,GRC,1990,1.05
Greece,GRC,1991,0.99
Greece,GRC,2022,0.38
Greece,GRC,2023,0.37
Grenada,GRD,1989,2.35
Grenada,GRD,1990,2.24
Grenada,GRD,1991,2.13
Grenada,GRD,2022,1.85
Grenada,GRD,2023,1.83
Guatemala,GTM,1989,8.41
Guatemala,GTM,1990,8.04
Guatemala,GTM,1991,7.68
Guatemala,GTM,2022,2.21
Guatemala,GTM,2023,2.14
Guinea,GIN,1989,23.86
Guinea,GIN,1990,23.31
Guinea,GIN,1991,22.71
Guinea,GIN,2022,9.78
Guinea,GIN,2023,9.5
Guinea-Bissau,GNB,1989,22.66
Guinea-Bissau,GNB,1990,22.23
Guinea-Bissau,GNB,1991,21.79
Guinea-Bissau,GNB,2022,7.16
Guinea-Bissau,GNB,2023,6.93
Guyana,GUY,1989,6.22
Guyana,GUY,1990,6.08
Guyana,GUY,1991,5.92
Guyana,GUY,2022,2.66
Guyana,GUY,2023,2.57
Haiti,HTI,1989,14.91
Haiti,HTI,1990,14.49
Haiti,HTI,1991,14.08
Haiti,HTI,2022,5.69
Haiti,HTI,2023,5.51
High-income countries,,1989,1.45
High-income countries,,1990,1.38
High-income countries,,1991,1.32
High-income countries,,2022,0.5
High-income countries,,2023,0.5
Honduras,HND,1989,6.1
Honduras,HND,1990,5.81
Honduras,HND,1991,5.54
Honduras,HND,2022,1.6
Honduras,HND,2023,1.55
Hungary,HUN,1989,1.78
Hungary,HUN,1990,1.72
Hungary,HUN,1991,1.65
Hungary,HUN,2022,0.39
Hungary,HUN,2023,0.38
Iceland,ISL,1989,0.65
