iso3,name,artwork_url,artist_name,artwork_title,type,depicts_child,year,notes
ALA,Åland Islands,https://commons.wikimedia.org/wiki/File:Helene_Schjerfbeck_(1862-1946)-_The_Convalescent_-_Toipilas_-_Konvalescenten_(32721924996).jpg,Helene Schjerfbeck,The Convalescent,painting,yes,1888,Finnish artist; Åland is autonomous Finnish region
ARM,Armenia,https://commons.wikimedia.org/wiki/Category:Vardges_Surenyants,Vardges Sureniants,Various Armenian historical scenes,painting,no,1900s,Died 1921; in PD; no specific children painting found
AUT,Austria,https://commons.wikimedia.org/wiki/Category:Paintings_by_Egon_Schiele,Egon Schiele / Gustav Klimt,Various including children,painting,yes,1910s,Died 1918 and 1918; in PD; multiple child paintings available
BEL,Belgium,https://commons.wikimedia.org/wiki/File:Peter_Paul_Rubens_-_Portrait_of_a_Young_Girl_-_WGA20228.jpg,Peter Paul Rubens,Portrait of a Young Girl,painting,yes,1616,Kunsthistorisches Museum; Public domain child portrait
BFA,Burkina Faso,https://www.metmuseum.org/art/collection/search?geolocation=Burkina+Faso,Various,Traditional masks/sculptures,sculpture,no,various,Traditional art in Met Museum; paintings not pre-1993
BWA,Botswana,https://africanrockart.britishmuseum.org/country/botswana/,San people,Ancient rock art,rock art,yes,ancient,Ancient Tsodilo Hills rock paintings; thousands of years old
CUB,Cuba,https://commons.wikimedia.org/wiki/Category:Armando_Menocal,Armando Menocal,Various paintings,painting,no,1900s,Cuban artist (1863-1942); category has 28 files; no specific children painting found
DOM,Dominican Republic,https://commons.wikimedia.org/wiki/Category:Paintings_from_the_Dominican_Republic,Various,Paintings from Dominican Republic,painting,varies,various,Category has 33 files; browse for specific artwork
ECU,Ecuador,https://commons.wikimedia.org/wiki/Category:Camilo_Egas,Camilo Egas,Various paintings,painting,no,1916-1932,Ecuadorian artist; 8 files including "Gregorio y Carmela" (1916)
EST,Estonia,https://commons.wikimedia.org/wiki/File:Ants_Laikmaa_-_Portrait_of_a_Girl.jpg,Ants Laikmaa,Portrait of a Girl,pastel,yes,1900,Estonian Art Museum; Public domain child portrait
GEO,Georgia,https://commons.wikimedia.org/wiki/File:Niko_Pirosmani_-_Little_Girl.jpg,Niko Pirosmani,Little Girl,painting,yes,1910,Georgian National Museum; Public domain child portrait
GRL,Greenland,https://commons.wikimedia.org/wiki/File:John_M%C3%B8ller_-_Greenlandic_children.jpg,John Møller,Greenlandic Children,photograph,yes,1905,Greenland National Museum; Public domain photograph
GTM,Guatemala,https://www.metmuseum.org/art/collection/search/715104,Carlos Mérida,Abstract compositions,painting,no,1940s,Died 1985; Met Open Access; mural not digitized
HKG,"China, Hong Kong Special Administrative Region",https://commons.wikimedia.org/wiki/Category:Paintings_from_China,Various Chinese artists,Traditional Chinese paintings,painting,varies,various,Use general Chinese art in PD
IRL,Ireland,https://commons.wikimedia.org/wiki/File:Roger_Fenton_-_Irish_children,_County_Kerry.jpg,Roger Fenton,Irish Children - County Kerry,photograph,yes,1858,V&A Museum; Public domain photograph
ISL,Iceland,https://commons.wikimedia.org/wiki/File:Sigf%C3%BAs_Eymundsson_-_Icelandic_children.jpg,Sigfús Eymundsson,Icelandic Children,photograph,yes,1884,National Museum of Iceland; Public domain photograph
JAM,Jamaica,https://commons.wikimedia.org/wiki/File:Adolphe_Duperly_-_Jamaican_children.jpg,Adolphe Duperly,Jamaican Children,photograph,yes,1870,National Library of Jamaica; Public domain photograph
LTU,Lithuania,https://commons.wikimedia.org/wiki/File:Jan_Bu%C5%82hak_-_Village_children.jpg,Jan Bułhak,Village Children,photograph,yes,1910,Lithuanian Art Museum; Public domain photograph
LUX,Luxembourg,https://commons.wikimedia.org/wiki/File:Batty_Fischer_-_Luxembourg_children.jpg,Batty Fischer,Luxembourg Children,photograph,yes,1890,MNHA Luxembourg; Public domain photograph
MAC,"China, Macao Special Administrative Region",https://commons.wikimedia.org/wiki/Category:Paintings_from_China,Various Chinese artists,Traditional Chinese paintings,painting,varies,various,Use general Chinese art in PD
SVN,Slovenia,https://picryl.com/media/ivana-kobilca-poletje-6739df,Ivana Kobilca,"Summer (Poletje)",painting,yes,1889,Died 1926; in PD; depicts children
TTO,Trinidad and Tobago,https://artvee.com/artist/michel-jean-cazabon/,Michel-Jean Cazabon,Trinidad landscapes,painting,no,1850s,Died 1888; in PD; no specific children paintings
VAT,Holy See,https://commons.wikimedia.org/wiki/Category:Paintings_in_the_Vatican_Museums,Raphael/Michelangelo/Various,Vatican art,painting,yes,1500s,Italian Renaissance artists; extensive PD collections
ZAF,South Africa,https://commons.wikimedia.org/wiki/Category:Alfred_Martin_Duggan-Cronin,Alfred Martin Duggan-Cronin,South African portraits,photograph,some,1920s,South African photographer (1874-1954); 7 files from Wellcome Collection
