id,file_path,image_filename,inventory_number,title_fr,title_en,location,country_fr,country_en,m49code,alpha2,iso3,operator,author,mission,date,theme,sub_theme,description,domain,process,support,denomination,format,dimensions,ownership,license,page_url,image_url,filepath
1,images_by_location/AvilaAvila_Espagne/A10661_metadata.json,A10661.jpeg,A10661,Espagne Avila La Fontaine S Vicente Et Un Groupe De Femmes,Spain Avila The Saint Vincent Fountain And A Group Of Women,"AvilaAvila, Espagne",Espagne,Spain,724,ES,ESP,"Chevalier, Georges",,1917 - Espagne - Jean Brunhes et Georges Chevalier - (27 avril-29 mai),,Etres humainsEtres humainsEtres humainsVie quotidienneHabitat / Architecture,FemmeEnfantPortrait de groupeObjet domestiqueInstallation hydrauliqueFontaine,,Images fixes,Autochrome,Verre,Autochrome,,,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-BY-4.0),https://collections.albert-kahn.hauts-de-seine.fr/document/espagne-avila-la-fontaine-s-vicente-et-un-groupe-de-femmes/617a7a3fcf8b8968b3367ce6?filtrerParThme%5B0%5D=Etres%20humains&wm=0&filtrerParSousthme%5B0%5D=Femme&filtrerParMission%5B0%5D=1917%20-%20Espagne%20-%20Jean%20Brunhes%20et%20Georges%20Chevalier%20-%20%2827%20avril-29%20mai%29&pos=4&pgn=0,https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/64/6164260b51e08207930e9e2b.jpeg,images/ESP/albert_kahn/6164260b51e08207930e9e2b.jpeg
2,images_by_location/TéhéranTéhéran_Perse/A52952S_metadata.json,A52952S.jpeg,A52952S,Femmes Guebres En Costume Traditionnels De Profil Moderne De Face,Zoroastrian Women In Traditional Costumes In Modern Profile And Front View,"TéhéranTéhéran, Perse",Perse,Persia (Iran),364,IR,IRN,"Gadmer, Frédéric",,"1927 - Irak, Iran (Perse) - Frédéric Gadmer - (3 avril-1er juillet)",,Etres humainsHabillementHabillementEtres humains,FemmeHabit religieuxCostumePortrait de groupe,,Images fixes,Autochrome,Verre,Autochrome,Horizontal,Taille 9 x 12,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-BY-4.0),"https://collections.albert-kahn.hauts-de-seine.fr/document/femmes-guebres-en-costume-traditionnels-de-profil-moderne-de-face/617a7a3acf8b8968b333e28f?filtrerParThme%5B0%5D=Etres%20humains&filtrerParSousthme%5B0%5D=Femme&wm=1&filtrerParMission%5B0%5D=1927%20-%20Irak,%20Iran%20%28Perse%29%20-%20Fr%C3%A9d%C3%A9ric%20Gadmer%20-%20%283%20avril-1er%20juillet%29&pos=30&pgn=1",https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/64/6164745351e0820793118ada.jpeg,images/IRN/albert_kahn/6164745351e0820793118ada.jpeg
3,images_by_location/ShkodërShköder_Albanie/A2903_metadata.json,A2903.jpeg,A2903,Une Femme Mirdite Catholique Et Son Fils,A Catholic Mirdite Woman And Her Son,"ShkodërShköder, Albanie",Albanie,Albania,8,AL,ALB,"Léon, Auguste",,"1913 - Balkans, Italie -  Jean Brunhes et Auguste Léon - (septembre - 23 octobre)",,Etres humainsHabillementReligionHDEtres humainsEtres humains,"FemmeCostumeChristianismeexiste en haute définition (saisie depuis Fakir, avant 2020)EnfantBroderiePortrait",,Images fixes,Autochrome,Verre,Autochrome,Vertical,Taille 9 x 12,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-00) - Domaine Public,"https://collections.albert-kahn.hauts-de-seine.fr/document/une-femme-mirdite-catholique-et-son-fils/617a7a3fcf8b8968b336bb62?filtrerParThme%5B0%5D=Etres%20humains&wm=1&filtrerParSousthme%5B0%5D=Femme&filtrerParMission%5B0%5D=1913%20-%20Balkans,%20Italie%20-%20%20Jean%20Brunhes%20et%20Auguste%20L%C3%A9on%20-%20%28septembre%20-%2023%20octobre%29&pos=28&pgn=1",https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/64/616474c351e0820793118f54.jpeg,images/ALB/albert_kahn/616474c351e0820793118f54.jpeg
4,images_by_location/SofiaSofia_Bulgarie/A16948S_metadata.json,A16948S.jpeg,A16948S,Jeune Femme A Robe Brodee De Marguerites,Young Woman In A Dress Embroidered With Daisies,"SofiaSofia, Bulgarie",Bulgarie,Bulgaria,100,BG,BGR,"Busy, Léon",,"1918 - Grèce, Turquie et  Bulgarie - Léon Busy",,Etres humainsHabillementHDActivite économique,"FemmeCostumeTissageexiste en haute définition (saisie depuis Fakir, avant 2020)ArtisanatTravaux textiles",,Images fixes,Autochrome,Verre,Autochrome,Vertical,Taille 9 x 12,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-00) - Domaine Public,"https://collections.albert-kahn.hauts-de-seine.fr/document/jeune-femme-a-robe-brodee-de-marguerites/617a7a3acf8b8968b333ba0c?filtrerParThme%5B0%5D=Etres%20humains&wm=0&filtrerParSousthme%5B0%5D=Femme&filtrerParMission%5B0%5D=1918%20-%20Gr%C3%A8ce,%20Turquie%20et%20%20Bulgarie%20-%20L%C3%A9on%20Busy&pos=1&pgn=0",https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/64/6164418051e08207930fa5b9.jpeg,images/BGR/albert_kahn/6164418051e08207930fa5b9.jpeg
5,images_by_location/Oulan-BatorOurga_Mongolie/A3962_metadata.json,A3962.jpeg,A3962,Une Femme Mariee Khalkha,A Married Khalkha Woman,"Oulan-BatorOurga, Mongolie",Mongolie,Mongolia,496,MN,MNG,"Passet, Stéphane",,1913 - Mongolie - Stéphane Passet  - (6-25 juillet),,Etres humainsHabillementHD,"FemmeCostumeexiste en haute définition (saisie depuis Fakir, avant 2020)Coiffure / couvre-chef",,Images fixes,Autochrome,Verre,Autochrome,Vertical,Taille 9 x 12,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-00) - Domaine Public,https://collections.albert-kahn.hauts-de-seine.fr/document/une-femme-mariee-khalkha/617a7a3ecf8b8968b3359efd?filtrerParThme%5B0%5D=Etres%20humains&wm=0&filtrerParSousthme%5B0%5D=Femme&filtrerParMission%5B0%5D=1913%20-%20Mongolie%20-%20St%C3%A9phane%20Passet%20%20-%20%286-25%20juillet%29&pos=1&pgn=0,https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/64/6164759b51e0820793119809.jpeg,images/MNG/albert_kahn/6164759b51e0820793119809.jpeg
6,images_by_location/TonkinTonkin_Indochine/A10396_metadata.json,A10396.jpeg,A10396,Jeune Femme Figurant Une Reine Dans Un Jeu D Echecs Vivant,Young Woman Portraying A Queen In A Living Chess Game,"TonkinTonkin, Indochine",Indochine,Vietnam,704,VN,VNM,"Busy, Léon",,Léon Busy en Indochine,,Etres humainsHabillementDivertissementEtres humainsEtres humains,FemmeCostumeJeu / jouetEnfantPortraitEchecsBijouCoiffure / couvre-chef,,Images fixes,Autochrome,Verre,Autochrome,Vertical,Taille 9 x 12,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-00) - Domaine Public,https://collections.albert-kahn.hauts-de-seine.fr/document/jeune-femme-figurant-une-reine-dans-un-jeu-d-echecs-vivant/617a7a3bcf8b8968b334738e?filtrerParThme%5B0%5D=Etres%20humains&filtrerParSousthme%5B0%5D=Femme&filtrerParMission%5B0%5D=L%C3%A9on%20Busy%20en%20Indochine&pos=220&pgn=14,https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/64/616493a551e082079312c196.jpeg,images/VNM/albert_kahn/616493a551e082079312c196.jpeg
7,images_by_location/TonkinTonkin_Indochine/A5206_metadata.json,A5206.jpeg,A5206,Une Jeune Femme Du Peuple Portant Le Costume Quotidien,A Young Woman From The People Wearing Everyday Clothing,"TonkinTonkin, Indochine",Indochine,Vietnam,704,VN,VNM,"Busy, Léon",,Léon Busy en Indochine,,Etres humainsHabillementHDEtres humains,"FemmeCostumeexiste en haute définition (saisie depuis Fakir, avant 2020)PortraitCeintureCoiffure / couvre-chef",,Images fixes,Autochrome,Verre,Autochrome,Vertical,Taille 9 x 12,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-00) - Domaine Public,https://collections.albert-kahn.hauts-de-seine.fr/document/une-jeune-femme-du-peuple-portant-le-costume-quotidien/617a7a3acf8b8968b333d743?filtrerParThme%5B0%5D=Etres%20humains&filtrerParSousthme%5B0%5D=Femme&filtrerParMission%5B0%5D=L%C3%A9on%20Busy%20en%20Indochine&pos=17&pgn=1,https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/64/616417ad51e08207930e1495.jpeg,images/VNM/albert_kahn/616417ad51e08207930e1495.jpeg
8,images_by_location/Tell_Esh_ShehabTell_esh_Shehab_Syrie/A29636S_metadata.json,A29636S.jpeg,A29636S,Une Jeune Mariee Celle De Gauche Et Sa Cousine,A Young Bride (The One On The Left) And Her Cousin,"Tell Esh ShehabTell esh Shehab, Syrie",Syrie,Syrian Arab Republic,760,SY,SYR,"Gadmer, Frédéric",,"1921 - Liban, Syrie - Jean Brunhes et Frédéric Gadmer - (octobre)",,Etres humainsHabillementEtres humains,FemmeCostumePortrait de groupeTatouage,,Images fixes,Autochrome,Verre,Autochrome,Vertical,Taille 9 x 12,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-BY-4.0),"https://collections.albert-kahn.hauts-de-seine.fr/document/une-jeune-mariee-celle-de-gauche-et-sa-cousine/617a7a3acf8b8968b334121c?filtrerParThme%5B0%5D=Etres%20humains&wm=1&filtrerParSousthme%5B0%5D=Femme&filtrerParMission%5B0%5D=1921%20-%20Liban,%20Syrie%20-%20Jean%20Brunhes%20et%20Fr%C3%A9d%C3%A9ric%20Gadmer%20-%20%28octobre%29&pos=3&pgn=0",https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/64/6164209f51e08207930e6d94.jpeg,images/SYR/albert_kahn/6164209f51e08207930e6d94.jpeg
9,images_by_location/TokyoTôkyô_Japon/A70991XS_metadata.json,A70991XS.jpeg,A70991XS,Japonaise Dans Le Jardin D Une Residence,Japanese Woman In The Garden Of A Residence,"TokyoTôkyô (?), Japon",Japon,Japan,392,JP,JPN,"Dumas, Roger",,1926 -1927 - Japon - Roger Dumas,,Etres humainsHabillementEtres humainsHabitat / Architecture,FemmeCostumeimage naufragéePortraitJardin japonaisKimonoParc / Jardin,,Images fixes,Autochrome,Verre,Autochrome,Vertical,Taille 9 x 12,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-BY-4.0),https://collections.albert-kahn.hauts-de-seine.fr/document/japonaise-dans-le-jardin-d-une-residence/617a7a41cf8b8968b3374b5f?filtrerParThme%5B0%5D=Etres%20humains&filtrerParSousthme%5B0%5D=Femme&filtrerParMission%5B0%5D=1926%20-1927%20-%20Japon%20-%20Roger%20Dumas&pos=189&pgn=12,https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/64/6164316551e08207930f0c8c.jpeg,images/JPN/albert_kahn/6164316551e08207930f0c8c.jpeg
10,images_by_location/Bou_SaadaBou_Saada_Algérie/A80_metadata.json,A80.jpeg,A80,Deux Danseuses De La Tribu Des Ouled Nail,Two Dancers From The Ouled Nail Tribe,"Bou SaadaBou Saada, Algérie",Algérie,Algeria,12,DZ,DZA,"Gervais-Courtellemont, Jules",,"1909 ou 1910 - Algérie, Tunisie - Jules Gervais-Courtellemont et Souvieux",,Etres humainsHabillementArtHabillementHabillementSociétéHDEtres humainsHabillement,"FemmeCostume de fêteDanseCostume de spectacleCostumeMinorité ethniqueexiste en haute définition (saisie depuis Fakir, avant 2020)PortraitAccessoireBijou",,Images fixes,Autochrome,Verre,Autochrome,Vertical,Taille 9 x 12,"Département des Hauts-de-Seine, musée Albert-Kahn",Librement réutilisable (CC-00) - Domaine Public,"https://collections.albert-kahn.hauts-de-seine.fr/document/deux-danseuses-de-la-tribu-des-ouled-nail/617a7a3bcf8b8968b33470cb?filtrerParThme%5B0%5D=Etres%20humains&wm=0&filtrerParSousthme%5B0%5D=Femme&filtrerParMission%5B0%5D=1909%20ou%201910%20-%20Alg%C3%A9rie,%20Tunisie%20-%20Jules%20Gervais-Courtellemont%20et%20Souvieux&pos=12&pgn=0",https://collections.albert-kahn.hauts-de-seine.fr/media/cache/big/61/63/6163fdfe51e08207930d26a4.jpeg,images/DZA/albert_kahn/6163fdfe51e08207930d26a4.jpeg
