id,alpha3,artist_name,artist_nationality,work_title,filepath,image_path
1,HUN,Pál Szinyei Merse,Hungarian,Mother and Children,images/HUN/children_artwork/Mother_and_Children.jpg,"https://www.artic.edu/iiif/2/5f575140-664b-74a0-ebdb-69823dfd7bab/full/843,/0/default.jpg"
2,NLD,Evert Pieters,Dutch,A Family Meal,images/NLD/children_artwork/A_Family_Meal.jpg,"https://www.artic.edu/iiif/2/d5b9b3c8-66b4-d061-43ee-307cc42e1ae6/full/843,/0/default.jpg"
3,NOR,Edvard Munch,Norwegian,The Girl by the Window,images/NOR/children_artwork/The_Girl_by_the_Window.jpg,"https://www.artic.edu/iiif/2/d7df2633-3b40-f570-c906-211503a37cde/full/843,/0/default.jpg"
4,RUS,Robert Genin,Russian,Thirst,images/RUS/children_artwork/Thirst.jpg,"https://www.artic.edu/iiif/2/a0926588-779d-3440-adf6-881d15ddbf2f/full/843,/0/default.jpg"
5,ESP,Pablo Picasso,Spanish,Mother and Child,images/ESP/children_artwork/Mother_and_Child.jpg,"https://www.artic.edu/iiif/2/64734461-887d-80b9-8489-e38cb05ac01d/full/843,/0/default.jpg"
6,CHE,Angelica Kauffmann,Swiss,Mrs. Hugh Morgan and Her Daughter,images/CHE/children_artwork/Mrs_Hugh_Morgan_and_Her_Daughter.jpg,"https://www.artic.edu/iiif/2/00df5b07-1d76-b1da-93ed-b98bb0700c3d/full/843,/0/default.jpg"
7,USA,Mary Cassatt,American,Young Mother Nursing Her Child,images/USA/children_artwork/Young_Mother_Nursing_Her_Child.jpg,"https://www.artic.edu/iiif/2/128c88c2-26a6-3ce4-830b-8578eb878cd9/full/843,/0/default.jpg"
8,GBR,Sir Henry Raeburn,Scottish,Eleanor Margaret Gibson-Carmichael,images/GBR/children_artwork/Eleanor_Margaret_Gibson-Carmichael.jpg,"https://www.artic.edu/iiif/2/9a93001d-887a-f34d-ecc2-83240e2ad54c/full/843,/0/default.jpg"
9,GBR,Emily Mary Osborn,English,Mrs. Sturgis and Children,images/GBR/children_artwork/Mrs_Sturgis_and_Children.jpg,"https://www.artic.edu/iiif/2/b2339068-ad1b-0df8-25fb-4ded3e1fb4e1/full/843,/0/default.jpg"
10,USA,Joshua Johnson,American,Elizabeth Grant Bankson Beatty (Mrs. James Beatty) and Her Daughter Susan,images/USA/children_artwork/Elizabeth_Grant_Bankson_Beatty_Mrs_James_Beatty_and_Her_Daughter_Susan.jpg,"https://www.artic.edu/iiif/2/83802ee1-1682-6de0-7276-37c4ab3fa879/full/843,/0/default.jpg"
11,USA,Lilly Martin Spencer,American,This Little Pig Went to Market,images/USA/children_artwork/This_Little_Pig_Went_to_Market.jpg,"https://www.artic.edu/iiif/2/b05d86ee-ecc4-c28c-3df3-0c2d65b6b1cb/full/843,/0/default.jpg"
12,USA,Charles Willson Peale,American,"Mrs. John Nicholson (Hannah Duncan) and John Nicholson, Jr.",images/USA/children_artwork/Mrs_John_Nicholson_Hannah_Duncan_and_John_Nicholson_Jr.jpg,"https://www.artic.edu/iiif/2/de8b304b-8250-78cf-dfa2-5f91458b78f9/full/843,/0/default.jpg"
13,CHN,Formerly attributed to Zhou Wenju,Chinese,Children playing in a garden 明 庭院嬰戯圖 冊頁,images/CHN/children_artwork/Children_playing_in_a_garden_明_庭院嬰戯圖_冊頁.jpg,https://ids.si.edu/ids/deliveryService?id=FS-7112_07
14,USA,Max Bohm,American,Springtime in France,images/USA/children_artwork/Springtime_in_France.jpg,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.6.7_2
15,IRN,Probably by Farrukh Beg,Iranian,A Christian subject: The Madonna and Child,images/IRN/children_artwork/A_Christian_subject_The_Madonna_and_Child.jpg,https://ids.si.edu/ids/deliveryService?id=FS-6985_01
16,IND,Unknown,,"Vilaval Ragini, from a Ragamala",images/IND/children_artwork/Vilaval_Ragini_from_a_Ragamala.jpg,https://ids.si.edu/ids/deliveryService?id=FS-S2018.1.2_001crop
17,JPN,Katsukawa Shunsho,Japanese,"Woman, a baby and a young girl",images/JPN/children_artwork/Woman_a_baby_and_a_young_girl.jpg,https://ids.si.edu/ids/deliveryService?id=FS-5893_08
18,GBR,James Jebusa Shannon,Anglo-American,On the Dunes (Lady Shannon and Kitty),images/GBR/children_artwork/On_the_Dunes_Lady_Shannon_and_Kitty.jpg,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.6.110_1
19,USA,Charles Bird King,American,Sarah Weston Seaton with her Children Augustine and Julia,images/USA/children_artwork/Sarah_Weston_Seaton_with_her_Children_Augustine_and_Julia.jpg,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2011_147-000001
20,USA,Arthur Durston,American,Industry,images/USA/children_artwork/Industry.jpg,https://ids.si.edu/ids/deliveryService?id=SAAM-1964.1.92_1
21,USA,Carl Moon,American,Hopi Mother and Child,images/USA/children_artwork/Hopi_Mother_and_Child.jpg,https://ids.si.edu/ids/deliveryService?id=SAAM-1985.66.383325_2
22,AUS,Jane Sutherland,Australian,Little Gossips,images/AUS/children_artwork/Little_Gossips.jpg,"https://commons.wikimedia.org/wiki/File:Jane_Sutherland_-_Little_Gossips,_1888.jpg"
23,NZL,Frances Hodgkins,New Zealanders,Belgian Mother and Child,images/NZL/children_artwork/Belgian_Mother_and_Child.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Frances_Hodgkins_-_Belgian_Mother_and_Child_-_Sarjeant_Gallery.jpg
24,NDR,Jakob Smits,Dutch,Mater Amabilis,images/NDR/children_artwork/Mater_Amabilis.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/0020_Mater_Amabilis_1895.jpg
25,BRA,Eliseu Visconti ,Brazilian,Meu netinho (My grandson),images/BRA/children_artwork/Meu_netinho_My_grandson.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Eliseu_Visconti_-_Meu_netinho_-_1944.jpg
