iso3,name,artwork_url,artist_name,artwork_title,type,depicts_child,year,notes
ABW,Aruba,NOT FOUND,,,,,,Small island; no historical public domain artwork found
AIA,Anguilla,NOT FOUND,,,,,Small island; no historical public domain artwork found
ALA,Åland Islands,https://commons.wikimedia.org/wiki/File:Helene_Schjerfbeck_(1862-1946)-_The_Convalescent_-_Toipilas_-_Konvalescenten_(32721924996).jpg,Helene Schjerfbeck,The Convalescent,painting,yes,1888,Finnish artist; Åland is autonomous Finnish region
AND,Andorra,NOT FOUND,,,,,Romanesque art exists but no specific public domain children paintings found
ARE,United Arab Emirates,NOT FOUND,,,,,Works before 1993 in PD but no specific children paintings found
ARM,Armenia,https://commons.wikimedia.org/wiki/Category:Vardges_Surenyants,Vardges Sureniants,Various Armenian historical scenes,painting,no,1900s,Died 1921; in PD; no specific children painting found
ASM,American Samoa,NOT FOUND,,,,,No historical public domain artwork found
ATA,Antarctica,NOT FOUND,,,,,No native artists
ATF,French Southern Territories,NOT FOUND,,,,,No native artists
ATG,Antigua and Barbuda,NOT FOUND,,,,,No historical public domain artwork found
AUT,Austria,https://commons.wikimedia.org/wiki/Category:Paintings_by_Egon_Schiele,Egon Schiele / Gustav Klimt,Various including children,painting,yes,1910s,Died 1918 and 1918; in PD; multiple child paintings available
AZE,Azerbaijan,NOT FOUND,,,,,No historical public domain children paintings found
BDI,Burundi,NOT FOUND,,,,,No historical public domain artwork found
BEL,Belgium,https://commons.wikimedia.org/wiki/File:Peter_Paul_Rubens_-_Portrait_of_a_Young_Girl_-_WGA20228.jpg,Peter Paul Rubens,Portrait of a Young Girl,painting,yes,1616,Kunsthistorisches Museum; Public domain child portrait
BES,"Bonaire, Sint Eustatius and Saba",NOT FOUND,,,,,No historical public domain artwork found
BFA,Burkina Faso,https://www.metmuseum.org/art/collection/search?geolocation=Burkina+Faso,Various,Traditional masks/sculptures,sculpture,no,various,Traditional art in Met Museum; paintings not pre-1993
BGD,Bangladesh,NOT IN PD,Zainul Abedin,TBD,painting,,Artist died 1976; not yet public domain
BHR,Bahrain,NOT FOUND,,,,,Art movement started 1950s; no PD children paintings
BHS,Bahamas,NOT FOUND,,,,,No historical public domain artwork found
BLM,Saint Barthélemy,NOT FOUND,,,,,No historical public domain artwork found
BLR,Belarus,NOT IN PD,Marc Chagall,"Bathing of a Baby",painting,yes,Died 1985; not PD until 2056
BLZ,Belize,NOT FOUND,,,,,No historical public domain artwork found
BMU,Bermuda,NOT FOUND,,,,,No historical public domain artwork found
BOL,Bolivia (Plurinational State of),NOT IN PD,Marina Núñez del Prado / Cecilio Guzmán de Rojas,TBD,sculpture/painting,,Núñez died 1995; Guzmán 1950 (may be PD)
BRB,Barbados,NOT FOUND,,,,,No historical public domain artwork found
BRN,Brunei Darussalam,NOT FOUND,,,,,No historical public domain artwork found
BTN,Bhutan,NOT FOUND,,,,,Traditional art exists but no specific PD paintings found
BVT,Bouvet Island,NOT FOUND,,,,,Uninhabited island
BWA,Botswana,https://africanrockart.britishmuseum.org/country/botswana/,San people,Ancient rock art,rock art,yes,ancient,Ancient Tsodilo Hills rock paintings; thousands of years old
CAF,Central African Republic,NOT FOUND,,,,,No historical public domain artwork found
CCK,Cocos (Keeling) Islands,NOT FOUND,,,,,No native artists
CHL,Chile,PENDING,Francisco Javier Mandiola,TBD,painting,yes,Painted children; searching for specific work
CIV,Côte d'Ivoire,NOT FOUND,,,,,Traditional art exists; no specific PD paintings found
COK,Cook Islands,NOT FOUND,,,,,No historical public domain artwork found
COM,Comoros,NOT FOUND,,,,,No historical public domain artwork found
CPV,Cabo Verde,NOT FOUND,,,,,No historical public domain artwork found
CRI,Costa Rica,NOT IN PD,Francisco Zúñiga,TBD,painting/sculpture,,Died 1998; not yet public domain
CUB,Cuba,https://commons.wikimedia.org/wiki/Category:Armando_Menocal,Armando Menocal,Various paintings,painting,no,1900s,Cuban artist (1863-1942); category has 28 files; no specific children painting found
CUW,Curaçao,NOT FOUND,,,,,No historical public domain artwork found
CXR,Christmas Island,NOT FOUND,,,,,No native artists
CYM,Cayman Islands,NOT FOUND,,,,,No historical public domain artwork found
DJI,Djibouti,NOT FOUND,,,,,No historical public domain artwork found
DMA,Dominica,NOT FOUND,,,,,No historical public domain artwork found
DOM,Dominican Republic,https://commons.wikimedia.org/wiki/Category:Paintings_from_the_Dominican_Republic,Various,Paintings from Dominican Republic,painting,varies,various,Category has 33 files; browse for specific artwork
ECU,Ecuador,https://commons.wikimedia.org/wiki/Category:Camilo_Egas,Camilo Egas,Various paintings,painting,no,1916-1932,Ecuadorian artist; 8 files including "Gregorio y Carmela" (1916)
ERI,Eritrea,NOT FOUND,,,,,No historical public domain artwork found
ESH,Western Sahara,NOT FOUND,,,,,No historical public domain artwork found
EST,Estonia,https://commons.wikimedia.org/wiki/File:Ants_Laikmaa_-_Portrait_of_a_Girl.jpg,Ants Laikmaa,Portrait of a Girl,pastel,yes,1900,Estonian Art Museum; Public domain child portrait
FJI,Fiji,NOT FOUND,,,,,No historical public domain artwork found
FLK,Falkland Islands (Malvinas),NOT FOUND,,,,,No native artists
FRO,Faroe Islands,NOT FOUND,,,,,No historical public domain artwork found
GEO,Georgia,https://commons.wikimedia.org/wiki/File:Niko_Pirosmani_-_Little_Girl.jpg,Niko Pirosmani,Little Girl,painting,yes,1910,Georgian National Museum; Public domain child portrait
GGY,Guernsey,NOT FOUND,,,,,No historical public domain artwork found
GIB,Gibraltar,NOT FOUND,,,,,No historical public domain artwork found
GIN,Guinea,NOT FOUND,,,,,No historical public domain artwork found
GLP,Guadeloupe,NOT FOUND,,,,,No historical public domain artwork found
GMB,Gambia,NOT FOUND,,,,,No historical public domain artwork found
GNB,Guinea-Bissau,NOT FOUND,,,,,No historical public domain artwork found
GRD,Grenada,NOT FOUND,,,,,No historical public domain artwork found
