id,country_iso3,country_m49,neighbor_iso3,neighbor_m49
1,AND,20,FRA,250
2,AND,20,ESP,724
3,ARE,784,OMN,512
4,ARE,784,SAU,682
5,AFG,4,CHN,156
6,AFG,4,IRN,364
7,AFG,4,PAK,586
8,AFG,4,TJK,762
9,AFG,4,TKM,795
10,AFG,4,UZB,860
11,ALB,8,GRC,300
12,ALB,8,MNE,499
13,ALB,8,MKD,807
14,ALB,8,SRB,688
15,ARM,51,AZE,31
16,ARM,51,GEO,268
17,ARM,51,IRN,364
18,ARM,51,TUR,792
19,AGO,24,COG,178
20,AGO,24,COD,180
21,AGO,24,NAM,516
22,AGO,24,ZMB,894
23,ARG,32,BOL,68
24,ARG,32,BRA,76
25,ARG,32,CHL,152
26,ARG,32,PRY,600
27,ARG,32,URY,858
28,AUT,40,CZE,203
29,AUT,40,DEU,276
30,AUT,40,HUN,348
31,AUT,40,ITA,380
32,AUT,40,LIE,438
33,AUT,40,SVK,703
34,AUT,40,SVN,705
35,AUT,40,CHE,756
36,AZE,31,ARM,51
37,AZE,31,GEO,268
38,AZE,31,IRN,364
39,AZE,31,RUS,643
40,AZE,31,TUR,792
41,BIH,70,HRV,191
42,BIH,70,MNE,499
43,BIH,70,SRB,688
44,BGD,50,IND,356
45,BGD,50,MMR,104
46,BEL,56,FRA,250
47,BEL,56,DEU,276
48,BEL,56,LUX,442
49,BEL,56,NLD,528
50,BFA,854,BEN,204
51,BFA,854,CIV,384
52,BFA,854,GHA,288
53,BFA,854,MLI,466
54,BFA,854,NER,562
55,BFA,854,TGO,768
56,BGR,100,GRC,300
57,BGR,100,MKD,807
58,BGR,100,ROU,642
59,BGR,100,SRB,688
60,BGR,100,TUR,792
61,BDI,108,COD,180
62,BDI,108,RWA,646
63,BDI,108,TZA,834
64,BEN,204,BFA,854
65,BEN,204,NER,562
66,BEN,204,NGA,566
67,BEN,204,TGO,768
68,BRN,96,MYS,458
69,BOL,68,ARG,32
70,BOL,68,BRA,76
71,BOL,68,CHL,152
72,BOL,68,PRY,600
73,BOL,68,PER,604
74,BRA,76,ARG,32
75,BRA,76,BOL,68
76,BRA,76,COL,170
77,BRA,76,GUF,254
78,BRA,76,GUY,328
79,BRA,76,PRY,600
80,BRA,76,PER,604
81,BRA,76,SUR,740
82,BRA,76,URY,858
83,BRA,76,VEN,862
84,BTN,64,CHN,156
85,BTN,64,IND,356
86,BWA,72,NAM,516
87,BWA,72,ZAF,710
88,BWA,72,ZMB,894
89,BWA,72,ZWE,716
90,BLR,112,LVA,428
91,BLR,112,LTU,440
92,BLR,112,POL,616
93,BLR,112,RUS,643
94,BLR,112,UKR,804
95,BLZ,84,GTM,320
96,BLZ,84,MEX,484
97,CAN,124,USA,840
98,COD,180,AGO,24
99,COD,180,BDI,108
100,COD,180,CAF,140
101,COD,180,COG,178
102,COD,180,RWA,646
103,COD,180,SSD,728
104,COD,180,TZA,834
105,COD,180,UGA,800
106,COD,180,ZMB,894
107,CAF,140,CMR,120
108,CAF,140,TCD,148
109,CAF,140,COG,178
110,CAF,140,COD,180
111,CAF,140,SSD,728
112,CAF,140,SDN,729
113,COG,178,AGO,24
114,COG,178,CMR,120
115,COG,178,CAF,140
116,COG,178,COD,180
117,COG,178,GAB,266
118,CHE,756,AUT,40
119,CHE,756,FRA,250
120,CHE,756,DEU,276
121,CHE,756,ITA,380
122,CHE,756,LIE,438
123,CIV,384,BFA,854
124,CIV,384,GHA,288
125,CIV,384,GIN,324
126,CIV,384,LBR,430
127,CIV,384,MLI,466
128,CHL,152,ARG,32
129,CHL,152,BOL,68
130,CHL,152,PER,604
131,CMR,120,CAF,140
132,CMR,120,TCD,148
133,CMR,120,COG,178
134,CMR,120,GNQ,226
135,CMR,120,GAB,266
136,CMR,120,NGA,566
137,CHN,156,AFG,4
138,CHN,156,BTN,64
139,CHN,156,HKG,344
140,CHN,156,IND,356
141,CHN,156,KAZ,398
142,CHN,156,PRK,408
143,CHN,156,KGZ,417
144,CHN,156,LAO,418
145,CHN,156,MAC,446
146,CHN,156,MNG,496
147,CHN,156,MMR,104
148,CHN,156,NPL,524
149,CHN,156,PAK,586
150,CHN,156,RUS,643
151,CHN,156,TJK,762
152,CHN,156,VNM,704
153,COL,170,BRA,76
154,COL,170,ECU,218
155,COL,170,PAN,591
156,COL,170,PER,604
157,COL,170,VEN,862
158,CRI,188,NIC,558
159,CRI,188,PAN,591
160,CZE,203,AUT,40
161,CZE,203,DEU,276
162,CZE,203,POL,616
163,CZE,203,SVK,703
