id,object_id,iso3,country_name,title,artist_name,object_date,medium,department,culture,nudity,object_url,image_url,filepath,json_file
1,316173,AGO,Angola,Mwanangana (lord of the land) playing a sanza,Chokwe artist,19th century (before 1869),"Wood (uapaca), cloth, plant fiber, beads, dye, resinous coating",The Michael C. Rockefeller Wing,Chokwe,,https://www.metmuseum.org/art/collection/search/316173,,images/AGO/met/316173.jpg,data/met_json/316173.json
2,708736,ARG,Argentina,Beaker with face,Condorhuasi-Alamito artist(s),500 BCE–500 CE,Stone,The Michael C. Rockefeller Wing,Condorhuasi-Alamito,,https://www.metmuseum.org/art/collection/search/708736,,images/ARG/met/708736.jpg,data/met_json/708736.json
3,436819,AUT,Austria,Mäda Primavesi (1903–2000),Gustav Klimt,1912–13,Oil on canvas,European Paintings,,,https://www.metmuseum.org/art/collection/search/436819,,images/AUT/met/436819.jpg,data/met_json/436819.json
4,447577,AZE,Azerbaijan,Dragon Carpet,,17th century,"Wool (warp, weft, pile); symmetrically knotted pile",Islamic Art,,,https://www.metmuseum.org/art/collection/search/447577,,images/AZE/met/447577.jpg,data/met_json/447577.json
5,76737,BGD,Bangladesh,"Manasa, the Snake Goddess",,11th century,"Copper sheet, repousséd and engraved, with traces of gilding",Asian Art,India (Bengal) or Bangladesh,Yes,https://www.metmuseum.org/art/collection/search/76737,,images/BGD/met/76737.jpg,data/met_json/76737.json
6,679686,BEL,Belgium,Hortensia,Fernand Khnopff,1884,Oil on canvas,European Paintings,,,https://www.metmuseum.org/art/collection/search/679686,,images/BEL/met/679686.jpg,data/met_json/679686.json
7,317760,BLZ,Belize,Pair of carved ornaments with the Maize God,Maya artist(s),400–700 CE,Shell,The Michael C. Rockefeller Wing,Maya,,https://www.metmuseum.org/art/collection/search/317760,,images/BLZ/met/317760.jpg,data/met_json/317760.json
8,1714,BMU,Bermuda,Side chair,,1700–1740,Bermuda cedar,The American Wing,"Bermudian, possibly",,https://www.metmuseum.org/art/collection/search/1714,,images/BMU/met/1714.jpg,data/met_json/1714.json
9,851421,BTN,Bhutan,Portrait of Zhabdrung Ngawang Namgyal,,18th century,"Clay with polychrome, cold gold, and gilding",Asian Art,Bhutan,,https://www.metmuseum.org/art/collection/search/851421,,images/BTN/met/851421.jpg,data/met_json/851421.json
10,316978,BOL,Bolivia (Plurinational State of),Four-Cornered Hat,,500–900 CE,Camelid fiber,The Michael C. Rockefeller Wing,Tiwanaku or Wari,,https://www.metmuseum.org/art/collection/search/316978,,images/BOL/met/316978.jpg,data/met_json/316978.json
11,503201,BFA,Burkina Faso,Whistle,,19th century,Wood,Musical Instruments,Mossi or Guronsi People,,https://www.metmuseum.org/art/collection/search/503201,,images/BFA/met/503201.jpg,data/met_json/503201.json
12,38451,KHM,Cambodia,Buddha Protected by a Seven-headed Naga,,late 12th–early 13th century,Sandstone,Asian Art,Cambodia,,https://www.metmuseum.org/art/collection/search/38451,,images/KHM/met/38451.jpg,data/met_json/38451.json
13,311021,CMR,Cameroon,Helmet crest from a nja masquerade,Grassfields artists,ca. 1800–80,"Wood, copper, glass beads, raffia palm, cowrie shells",The Michael C. Rockefeller Wing,Bamum kingdom,,https://www.metmuseum.org/art/collection/search/311021,,images/CMR/met/311021.jpg,data/met_json/311021.json
14,38451,KHM,Cambodia,Buddha Protected by a Seven-headed Naga,,late 12th–early 13th century,Sandstone,Asian Art,Cambodia,,https://www.metmuseum.org/art/collection/search/38451,,images/KHM/met/38451.jpg,data/met_json/38451.json
15,309960,CHL,Chile,Miniature camelid effigy,Inca artist(s),1400–1535 CE,"Silver, gold, copper alloy",The Michael C. Rockefeller Wing,Inca,,https://www.metmuseum.org/art/collection/search/309960,,images/CHL/met/309960.jpg,data/met_json/309960.json
16,320053,COG,Congo,Mangaaka Power Figure (Nkisi N’Kondi),Yombe-Kongo artist and nganga (ritual specialist),ca. 1880–1900,"Wood, iron, resin, ceramic, plant fiber, textile, pigment",The Michael C. Rockefeller Wing,Kongo,,https://www.metmuseum.org/art/collection/search/320053,,images/COG/met/320053.jpg,data/met_json/320053.json
17,316661,CRI,Costa Rica,Frog pendant,Chiriquí artist(s),700–1550 CE,Gold,The Michael C. Rockefeller Wing,Chiriquí,,https://www.metmuseum.org/art/collection/search/316661,,images/CRI/met/316661.jpg,data/met_json/316661.json
18,643506,CIV,Côte d’Ivoire,Moon face mask from a mblo performance,Baule artist,Mid-19th–early 20th century,Wood,The Michael C. Rockefeller Wing,Baule peoples,,https://www.metmuseum.org/art/collection/search/643506,,images/CIV/met/643506.jpg,data/met_json/643506.json
19,314034,COD,Democratic Republic of the Congo,Lupona (royal seat),"Ngongo ya Chintu, formerly known as the ""Buli Master""",ca. 1840–1870,"Wood, metal studs",The Michael C. Rockefeller Wing,Luba or Hemba peoples,Yes,https://www.metmuseum.org/art/collection/search/314034,,images/COD/met/314034.jpg,data/met_json/314034.json
20,320631,DOM,Dominican Republic,Figure Pendant,Taíno artist(s),13th–15th century,Stone,The Michael C. Rockefeller Wing,Taíno,,https://www.metmuseum.org/art/collection/search/320631,,images/DOM/met/320631.jpg,data/met_json/320631.json
21,316004,ECU,Ecuador,Figure vessel,Manteño artist(s),800–1450 CE,"Ceramic, pigment",The Michael C. Rockefeller Wing,Manteño,Yes,https://www.metmuseum.org/art/collection/search/316004,,images/ECU/met/316004.jpg,data/met_json/316004.json
22,317120,SLV,El Salvador,Earflare,,3rd–9th century,Jade,The Michael C. Rockefeller Wing,Maya (?),,https://www.metmuseum.org/art/collection/search/317120,,images/SLV/met/317120.jpg,data/met_json/317120.json
23,310870,GNQ,Equatorial Guinea,Eyema byeri (reliquary guardian figure),Okak-Fang artist,19th century,"Wood, copper alloy, palm oil",The Michael C. Rockefeller Wing,,Yes,https://www.metmuseum.org/art/collection/search/310870,,images/GNQ/met/310870.jpg,data/met_json/310870.json
24,317196,ETH,Ethiopia,Mäsqälä qǝddase (liturgical cross),Ezra,ca. 1500,"Wood, tin",The Michael C. Rockefeller Wing,,,https://www.metmuseum.org/art/collection/search/317196,,images/ETH/met/317196.jpg,data/met_json/317196.json
25,769257,FJI,Fiji,Ritual dish (daveniyaqona),,Early 19th century,Wood (vesi),The Michael C. Rockefeller Wing,Fijian,,https://www.metmuseum.org/art/collection/search/769257,,images/FJI/met/769257.jpg,data/met_json/769257.json
26,312429,GAB,Gabon,Nlô byeri (reliquary guardian head),Betsi-Fang artist,19th century,"Wood, copper alloy, palm oil",The Michael C. Rockefeller Wing,Fang-Betsi,,https://www.metmuseum.org/art/collection/search/312429,,images/GAB/met/312429.jpg,data/met_json/312429.json
27,320598,GHA,Ghana,Nsodie (memorial head) of a queen mother,Akan artist,Late 18th–19th century,Terracotta,The Michael C. Rockefeller Wing,Akan,,https://www.metmuseum.org/art/collection/search/320598,,images/GHA/met/320598.jpg,data/met_json/320598.json
28,313240,GTM,Guatemala,Relief with enthroned ruler,Chakalte',770 CE,"Limestone, paint",The Michael C. Rockefeller Wing,Maya,,https://www.metmuseum.org/art/collection/search/313240,,images/GTM/met/313240.jpg,data/met_json/313240.json
29,502073,GUY,Guyana,Shak Shak,,19th century,"dried grass, cord, pebbles?",Musical Instruments,Native American (Guyanese),,https://www.metmuseum.org/art/collection/search/502073,,images/GUY/met/502073.jpg,data/met_json/502073.json
30,309901,HND,Honduras,Pedestal vessel,Ulúa Valley artist(s),800–1000 CE,Marble,The Michael C. Rockefeller Wing,Ulúa Valley,,https://www.metmuseum.org/art/collection/search/309901,,images/HND/met/309901.jpg,data/met_json/309901.json
31,56277,IDN,Indonesia,Posthumous Portrait of a Queen as Parvati,,14th century,Andesite,Asian Art,Indonesia (Java),,https://www.metmuseum.org/art/collection/search/56277,,images/IDN/met/56277.jpg,data/met_json/56277.json
32,39309,LAO,Lao People's Democratic Republic,Kneeling Figure,,19th century,Bronze with gilt,Asian Art,Thailand or Laos,,https://www.metmuseum.org/art/collection/search/39309,,images/LAO/met/39309.jpg,data/met_json/39309.json
33,84280,LVA,Latvia,Coat,,ca. 1860,feathers,Costume Institute,Latvian,,https://www.metmuseum.org/art/collection/search/84280,,images/LVA/met/84280.jpg,data/met_json/84280.json
34,502184,LBR,Liberia,Rattle,,late 19th century,"Calabash shell, wicker",Musical Instruments,Liberian,,https://www.metmuseum.org/art/collection/search/502184,,images/LBR/met/502184.jpg,data/met_json/502184.json
35,318764,MDG,Madagascar,Hazomanga finial,Sakalava artist,17th–late 18th century,"Katrafay wood (Cedrelopsis grevei), pigment",The Michael C. Rockefeller Wing,Sakalava,Yes,https://www.metmuseum.org/art/collection/search/318764,,images/MDG/met/318764.jpg,data/met_json/318764.json
36,503641,MWI,Malawi,Trough Zither,,late 19th century,"Wood, hemp, string",Musical Instruments,Malawian (possibly Tonga),,https://www.metmuseum.org/art/collection/search/503641,,images/MWI/met/503641.jpg,data/met_json/503641.json
37,123890,MYS,Malaysia,Sarong,,19th century,"silk, metallic thread",Asian Art,Malaysia (Malayan),,https://www.metmuseum.org/art/collection/search/123890,,images/MYS/met/123890.jpg,data/met_json/123890.json
38,314362,MLI,Mali,Seated figure,Middle Niger artist,13th century,Terracotta,The Michael C. Rockefeller Wing,Middle Niger civilization,https://www.metmuseum.org/art/collection/search/314362,https://www.metmuseum.org/art/collection/search/314362,,images/MLI/met/314362.jpg,data/met_json/314362.json
39,268882,MLT,Malta,"[Strada Levante, Valletta, Malta]",Calvert Richard Jones,1850s,Salted paper print from paper negative,Photographs,,,https://www.metmuseum.org/art/collection/search/268882,,images/MLT/met/268882.jpg,data/met_json/268882.json
40,501419,MHL,Marshall Islands,Aje,,late 19th century,"Wood, cord, skin",Musical Instruments,Micronesian (Marshall Islands),,https://www.metmuseum.org/art/collection/search/501419,,images/MHL/met/501419.jpg,data/met_json/501419.json
41,292003,MSR,Montserrat,"Monserrat, Vista general de la montaña desde Monistrol",Charles Clifford,1860,Albumen silver print from glass negative,Photographs,,,https://www.metmuseum.org/art/collection/search/292003,,images/MSR/met/292003.jpg,data/met_json/292003.json
42,39116,MMR,Myanmar,"Seated Amitāyus, the Buddha of Eternal Life",,ca. 11th–12th century,Bronze,Asian Art,Burma,,https://www.metmuseum.org/art/collection/search/39116,,images/MMR/met/39116.jpg,data/met_json/39116.json
43,50799,NPL,Nepal,"Tara, the Buddhist Savior",,14th century,Gilt copper alloy with color and semiprecious stone inlay,Asian Art,"Nepal, Kathmandu Valley",Yes,https://www.metmuseum.org/art/collection/search/50799,,images/NPL/met/50799.jpg,data/met_json/50799.json
44,312290,NGA,Nigeria,Ùhúnmwèlaò (head of an ọ́bà),Ìgùn Ẹ́rọ̀nwwọ̀n (brass-casting guild) artists,Early 15th–mid-16th century,Brass,The Michael C. Rockefeller Wing,Edo,https://www.metmuseum.org/art/collection/search/316393,https://www.metmuseum.org/art/collection/search/312290,,images/NGA/met/312290.jpg,data/met_json/312290.json
45,451068,OMN,Oman,"Earring, One of a Pair",,19- 20th century,Gold wire with filigree,Islamic Art,,,https://www.metmuseum.org/art/collection/search/451068,,images/OMN/met/451068.jpg,data/met_json/451068.json
46,38498,PAK,Pakistan,Door Guardian (Dvarapala),,ca. 4th century,Stucco,Asian Art,Pakistan (ancient region of Gandhara),,https://www.metmuseum.org/art/collection/search/38498,,images/PAK/met/38498.jpg,data/met_json/38498.json
47,309419,PAN,Panama,Double-Bat-Head Figure Pendant,,12th–14th century,"Gold, greenstone",The Michael C. Rockefeller Wing,Coclé (Parita),,https://www.metmuseum.org/art/collection/search/309419,,images/PAN/met/309419.jpg,data/met_json/309419.json
48,311294,PNG,Papua New Guinea,House-post Figure,,19th century,"Wood, paint, fiber",The Michael C. Rockefeller Wing,Kambot people,Yes,https://www.metmuseum.org/art/collection/search/311294,,images/PNG/met/311294.jpg,data/met_json/311294.json
49,215300,PRY,Paraguay,Collar,,19th century,"Silk, embroidered net",The American Wing,Paraguayan,,https://www.metmuseum.org/art/collection/search/215300,,images/PRY/met/215300.jpg,data/met_json/215300.json
50,503200,PHL,Philippines,Dadabuan,,19th century,"Wood, mother-of-pearl, skin",Musical Instruments,Philippine (Mindanao),,https://www.metmuseum.org/art/collection/search/503200,,images/PHL/met/503200.jpg,data/met_json/503200.json
51,841261,PRT,Portugal,Round dish with fighting lizard and snake,Manuel Mafra,1865–87,Glazed earthenware,European Sculpture and Decorative Arts,,,https://www.metmuseum.org/art/collection/search/841261,,images/PRT/met/841261.jpg,data/met_json/841261.json
52,231084,MDA,Republic of Moldova,Ewer and basin (lavabo set),Chisinau Court Workshop,ca. 1680–85,"Silver, partially gilded",European Sculpture and Decorative Arts,,,https://www.metmuseum.org/art/collection/search/231084,,images/MDA/met/231084.jpg,data/met_json/231084.json
53,316442,SLE,Sierra Leone,Lidded saltcellar,Temne or Bullom artist(s),ca. 1490–1530,Ivory,The Michael C. Rockefeller Wing,Temne or Bullom,,https://www.metmuseum.org/art/collection/search/316442,,images/SLE/met/316442.jpg,data/met_json/316442.json
