id,iso3,title,country,source_link
,AFG,,Afghanistan,
,ALB,,Albania,
,AUS,,Australia,
,BGR,,Bulgaria,
,BIH,,Bosnia and Herzegovina,
,BRA,,Brazil,
,CAN,,Canada,
,CHE,,Switzerland,
,COL,,Colombia,
,CYP,,Cyprus,
,CZE,,Czechia,
,DEU,,Germany,
,DNK,,Denmark,
,DZA,,Algeria,
,ESP,,Spain,
,FIN,,Finland,
,FRA,,France,
,GBR,,United Kingdom of Great Britain and Northern Ireland,
,GRC,,Greece,
,HRV,,Croatia,
,HUN,,Hungary,
,IND,,India,
,IRN,,Iran (Islamic Republic of),
,IRQ,,Iraq,
,ITA,,Italy,
,JOR,,Jordan,
,JPN,,Japan,
,KOR,,Republic of Korea,
,LBN,,Lebanon,
,MAR,,Morocco,
,MKD,,North Macedonia,
,MNE,,Montenegro,
,MNG,,Mongolia,
,NLD,,Netherlands,
,NOR,,Norway,
,NZL,,New Zealand,
,PER,,Peru,
,POL,,Poland,
,PRI,,Puerto Rico,
,PSE,,State of Palestine,
,PYF,,French Polynesia,
,ROU,,Romania,
,RUS,,Russian Federation,
,SAU,,Saudi Arabia,
,SRB,,Serbia,
,SUR,,Suriname,
,SWE,,Sweden,
,SYR,,Syrian Arab Republic,
,TCD,,Chad,
,TUN,,Tunisia,
,TUR,,Türkiye,
,TWN,,Taiwan,
,UKR,,Ukraine,
,USA,,United States of America,
