id,source_url,title,description,source_link,country,iso3,image_url,remove,filepath
1,https://publicdomainreview.org/essay/tales-from-tahiti/,Tales from Tahiti,"Portrait of Arii Taimai, the “Last Queen of Tahiti”, featured in Eastern Pacific Lands: Tahiti and the Marquesas Islands (1910) by F.W. Christian",https://archive.org/details/easternpacificla00chri,French Polynesia,PYF,easternpacificla00chri_0335-822x1024.webp,,images/PYF/public_domain/Tales_from_Tahiti.jpg
2,https://publicdomainreview.org/essay/the-emperors-new-clothes/,"The Emperor’s New Clothes: The Emperor’s New Clothes
Fashion, Politics, and Identity in Mughal South Asia
","Miniature of the emperor Jahangir, ca. 1620–1630",https://www.bl.uk/stories/blogs,India,IND,04-6a00d8341c464853ef017d4188d356970c-800wi-edit.webp,,images/IND/public_domain/The_Emperors_New_Clothes_The_Emperors_New_ClothesFashion_Politics_and_Identity_in_Mughal_South_Asia.jpg
3,https://publicdomainreview.org/essay/windows-onto-history/,Windows Onto History: The Defenestrations of Prague (1419–1997),"Václav Brožík, The Prague Defenestration of 1618, 1890",https://en.wikipedia.org/wiki/File:V%C3%A1clavBRO%C5%BD%C3%8DK-Defenestrace.jpg,Czech Republic,CZE,VáclavBROŽÍK-Defenestrace.jpg,,images/CZE/public_domain/Windows_Onto_History_The_Defenestrations_of_Prague_14191997.jpg
4,https://publicdomainreview.org/essay/machiavelli-and-the-emergence-of-the-private-study/,"“Here I Gather All the Friends”: Machiavelli and the Emergence of the Private Study
","Gabriel Metsu, Woman Reading a Book by a Window, ca. 1653",https://commons.wikimedia.org/wiki/File:Gabriel_Metsu_-_Woman_Reading_a_Book_by_a_Window_-_GM-105_-_Leiden_Collection.jpg,Italy,ITA,190307_mia334_5440_800.jpg,,images/ITA/public_domain/Here_I_Gather_All_the_Friends_Machiavelli_and_the_Emergence_of_the_Private_Study.jpg
5,https://publicdomainreview.org/essay/raul-grigera-black-dandy-of-buenos-aires/,The Black Dandy of Buenos Aires: Racial Fictions and the Search for Raúl Grigera,"Caras y Caretas, 1908",https://upload.wikimedia.org/wikipedia/commons/a/ae/Afroargentinos.jpg,Argentina,ARG,Afroargentinos.jpg,,images/ARG/public_domain/The_Black_Dandy_of_Buenos_Aires_Racial_Fictions_and_the_Search_for_Raúl_Grigera.jpg
6,https://publicdomainreview.org/essay/in-search-of-true-color/,In Search of True Color: Sergei Prokudin-Gorsky’s Flawed Images,"Sergei Prokudin-Gorsky, Peasant Girls [Russian Empire], 1909, digital colour composite by Blaise Agüera y Arcas, 2004.",https://www.loc.gov/pictures/collection/prok/item/2018678943/,Russia,RUS,service-pnp-ppmsc-03900-03954r.jpg,,images/RUS/public_domain/In_Search_of_True_Color_Sergei_Prokudin-Gorskys_Flawed_Images.jpg
7,https://publicdomainreview.org/collection/yamauba-and-kintaro/,“The Form of a Demon and the Heart of a Person”: Kitagawa Utamaro’s Prints of Yamauba and Kintarō (ca. 1800),"Kitagawa Utamaro, Yamauba and Kintaro, ca. 1800",https://commons.wikimedia.org/wiki/File:Yamauba_and_Kintar%C3%B4_with_Ink_Painting_of_Wish-granting_Jewels_01.jpg,Japan,JPN,Yamanba_and_kintaro_sakazuki.jpg,,images/JPN/public_domain/The_Form_of_a_Demon_and_the_Heart_of_a_Person_Kitagawa_Utamaros_Prints_of_Yamauba_and_Kintarō_ca._1800.jpg
8,https://publicdomainreview.org/collection/michalina-janoszanka/,Through a Glass Lushly: Michalina Janoszanka’s Reverse Paintings (ca. 1920s),"Michalina Janoszanka, Zima (Winter), ca. 1920s",https://zbiory.mnk.pl/en/search-result/advance/catalog/34259,Poland,POL,256px-Michalina_Janoszanka_-_Motyl.jpg,,images/POL/public_domain/Through_a_Glass_Lushly_Michalina_Janoszankas_Reverse_Paintings_ca._1920s.jpg
9,https://publicdomainreview.org/essay/tribal-life-in-old-lyme-canadas-colorblind-chronicler-and-his-connecticut-exile/,Tribal Life in Old Lyme: Canada’s Colorblind Chronicler and his Connecticut Exile,"Postmen of the Wilderness by Arthur Heming, featured in Drama of the Forests (1921)",https://archive.org/details/hemingpaintingso00roya,Canada,CAN,20897035259_73d12d6fb3_b.webp,,images/CAN/public_domain/Tribal_Life_in_Old_Lyme_Canadas_Colorblind_Chronicler_and_his_Connecticut_Exile.jpg
10,https://publicdomainreview.org/collection/photographs-of-palestinian-life/,Photographs of Life in Palestine (ca. 1896–1919),"Women and children in Jericho, ca. 1900",https://www.loc.gov/item/2006681026/,Palestine,PSE,palestine-00046.webp,,images/PSE/public_domain/Photographs_of_Life_in_Palestine_ca._18961919.jpg
11,https://publicdomainreview.org/collection/peking-opera/,Peking Opera Characters (ca. 1900),Madame Wang in Baicao Mountain,https://www.metmuseum.org/art/collection/search/51581,China,CHN,peking-opera-074.webp,,images/CHN/public_domain/Peking_Opera_Characters_ca._1900.jpg
