source_url,local_path,title,description,Source Link,,Country,iso3,image_url,filepath
https://publicdomainreview.org/essay/tales-from-tahiti/,easternpacificla00chri_0335-822x1024.webp,Tales from Tahiti,"Portrait of Arii Taimai, the “Last Queen of Tahiti”, featured in Eastern Pacific Lands: Tahiti and the Marquesas Islands (1910) by F.W. Christian",https://archive.org/details/easternpacificla00chri,Internet Archive,French Polynesia,PYF,easternpacificla00chri_0335-822x1024.webp,
https://publicdomainreview.org/essay/the-emperors-new-clothes/,04-6a00d8341c464853ef017d4188d356970c-800wi-edit.webp,"The Emperor’s New Clothes: The Emperor’s New Clothes
Fashion, Politics, and Identity in Mughal South Asia
","Miniature of the emperor Jahangir, ca. 1620–1630",https://www.bl.uk/stories/blogs,,India,IND,04-6a00d8341c464853ef017d4188d356970c-800wi-edit.webp,
https://publicdomainreview.org/essay/windows-onto-history/,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/V%C3%A1clavBRO%C5%BD%C3%8DK-Defenestrace.jpg/960px-V%C3%A1clavBRO%C5%BD%C3%8DK-Defenestrace.jpg,Windows Onto History: The Defenestrations of Prague (1419–1997),"Václav Brožík, The Prague Defenestration of 1618, 1890",https://en.wikipedia.org/wiki/File:V%C3%A1clavBRO%C5%BD%C3%8DK-Defenestrace.jpg,,Czech Republic,CZE,VáclavBROŽÍK-Defenestrace.jpg,
https://publicdomainreview.org/essay/machiavelli-and-the-emergence-of-the-private-study/,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Gabriel_Metsu_-_Woman_Reading_a_Book_by_a_Window_-_GM-105_-_Leiden_Collection.jpg/960px-Gabriel_Metsu_-_Woman_Reading_a_Book_by_a_Window_-_GM-105_-_Leiden_Collection.jpg,"“Here I Gather All the Friends”: Machiavelli and the Emergence of the Private Study
","Gabriel Metsu, Woman Reading a Book by a Window, ca. 1653",https://commons.wikimedia.org/wiki/File:Gabriel_Metsu_-_Woman_Reading_a_Book_by_a_Window_-_GM-105_-_Leiden_Collection.jpg,,Italy,ITA,190307_mia334_5440_800.jpg,
https://publicdomainreview.org/essay/raul-grigera-black-dandy-of-buenos-aires/,Afroargentinos.jpg,The Black Dandy of Buenos Aires: Racial Fictions and the Search for Raúl Grigera,"Caras y Caretas, 1908",https://upload.wikimedia.org/wikipedia/commons/a/ae/Afroargentinos.jpg,,Argentina,ARG,Afroargentinos.jpg,
https://publicdomainreview.org/essay/in-search-of-true-color/,https://tile.loc.gov/storage-services/service/pnp/ppmsc/03900/03954v.jpg,In Search of True Color: Sergei Prokudin-Gorsky’s Flawed Images,"Sergei Prokudin-Gorsky, Peasant Girls [Russian Empire], 1909, digital colour composite by Blaise Agüera y Arcas, 2004.",https://www.loc.gov/pictures/collection/prok/item/2018678943/,,Russia,RUS,service-pnp-ppmsc-03900-03954r.jpg,
https://publicdomainreview.org/collection/yamauba-and-kintaro/,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Yamauba_and_Kintar%C3%B4_with_Ink_Painting_of_Wish-granting_Jewels_01.jpg/960px-Yamauba_and_Kintar%C3%B4_with_Ink_Painting_of_Wish-granting_Jewels_01.jpg,“The Form of a Demon and the Heart of a Person”: Kitagawa Utamaro’s Prints of Yamauba and Kintarō (ca. 1800),"Kitagawa Utamaro, Yamauba and Kintaro, ca. 1800",https://commons.wikimedia.org/wiki/File:Yamauba_and_Kintar%C3%B4_with_Ink_Painting_of_Wish-granting_Jewels_01.jpg,,Japan,JPN,Yamanba_and_kintaro_sakazuki.jpg,
https://publicdomainreview.org/collection/michalina-janoszanka/,Winter.jpg,Through a Glass Lushly: Michalina Janoszanka’s Reverse Paintings (ca. 1920s),"Michalina Janoszanka, Zima (Winter), ca. 1920s",https://zbiory.mnk.pl/en/search-result/advance/catalog/34259,Wiki,Poland,POL,256px-Michalina_Janoszanka_-_Motyl.jpg,
https://publicdomainreview.org/essay/tribal-life-in-old-lyme-canadas-colorblind-chronicler-and-his-connecticut-exile/,20897035259_73d12d6fb3_b.webp,Tribal Life in Old Lyme: Canada’s Colorblind Chronicler and his Connecticut Exile,"Postmen of the Wilderness by Arthur Heming, featured in Drama of the Forests (1921)",https://archive.org/details/hemingpaintingso00roya,Internet Archive,Canada,CAN,20897035259_73d12d6fb3_b.webp,
https://publicdomainreview.org/collection/photographs-of-palestinian-life/,palestine-00046.webp,Photographs of Life in Palestine (ca. 1896–1919),"Women and children in Jericho, ca. 1900",https://www.loc.gov/item/2006681026/,,Palestine,PSE,palestine-00046.webp,
https://publicdomainreview.org/collection/peking-opera/,peking-opera-074.webp,Peking Opera Characters (ca. 1900),Madame Wang in Baicao Mountain,https://www.metmuseum.org/art/collection/search/51581,,China,CHN,peking-opera-074.webp,
https://publicdomainreview.org/essay/travelling-tales/,05-crow-and-owl-double.webp,Travelling Tales: Kalīlah wa-Dimnah and the Animal Fable,"An Egyptian manuscript, ca. 1310",https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:08:93:3:wdl_08933:bsb00045958_00192/full/pct:25/0/default.jpg,,Egypt,EGY,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:08:93:3:wdl_08933:bsb00045958_00192/full/pct:25/0/default.jpg,
https://publicdomainreview.org/collection/gerrit-schouten-suriname-dioramas/,tm-a-6371c.webp,Paramaribo and the Plantation: Gerrit Schouten’s Dioramas of Suriname (1810–30),"Gerrit Schouten, diorama of a du dance party, ca. early 1800s.",https://collectie.wereldmuseum.nl/?query=search=Deeplink%20identifier=[obj_194529]&showtype=record#/query/a152343e-b1cd-49fc-b05d-3e60f4b2a9f8,,Suriname,SUR,tm-a-6371c.webp,
https://publicdomainreview.org/collection/wari-tie-dye/,wari-textile-4.webp,Pied Beauty: Wari Tie-Dye Textiles (ca. 425–1100),"Wari tunic, ca. 425–550",https://www.metmuseum.org/art/collection/search/314355,,Peru,PER,wari-textile-4.webp,
https://publicdomainreview.org/essay/the-serious-and-the-smirk-the-smile-in-portraiture/,9784419006_8819367b88_o.webp,The Serious and the Smirk: The Smile in Portraiture,Franz Hals’ Malle Babbe (1633–1635),https://commons.wikimedia.org/wiki/File:Frans_Hals_021.jpg,,Netherlands,NLD,9784419006_8819367b88_o.webp,
https://publicdomainreview.org/essay/our-mortal-waltz-the-dance-of-death-across-centuries/,Sheet 8 »Call of Death« – Käthe Kollwitz Museum Köln,Our Mortal Waltz: The Dance of Death Across Centuries,"Käthe Kollwitz, Call of Death, 1937",https://www.kollwitz.de/en/sheet-8-call-of-death,,Germany,DEU,kn-269.jpg,
https://publicdomainreview.org/collection/juneteenth-photographs/,Emancipation_Day_celebration_-_1900-06-19-edit.webp,Early Photographs of Juneteenth Celebrations,"Photograph by Grace Murray Stephenson of celebrations in Eastwoods Park, Austin, 1900.",https://cdm17006.contentdm.oclc.org/digital/search/searchterm/juneteenth/page/1,,United States,USA,Emancipation_Day_celebration_-_1900-06-19-edit.webp,
https://publicdomainreview.org/collection/joseph-ducreux-self-portraits/,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/2013_PAR_03547_0050_000%28joseph_ducreux_autoportrait_en_homme_surpris_et_terrorise%29.jpg/960px-2013_PAR_03547_0050_000%28joseph_ducreux_autoportrait_en_homme_surpris_et_terrorise%29.jpg,Joseph Ducreux’s Self-Portraits (ca. 1790),"Joseph Ducreux, """"Self Portrait as Surprised and Terrorized Man"""", ca. 1790 ",https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/2013_PAR_03547_0050_000%28joseph_ducreux_autoportrait_en_homme_surpris_et_terrorise%29.jpg/960px-2013_PAR_03547_0050_000%28joseph_ducreux_autoportrait_en_homme_surpris_et_terrorise%29.jpg,,France,FRA,,
https://publicdomainreview.org/collection/shtetl-my-destroyed-home-a-remembrance-1922/,13887850286_e7d80e54b6_b.webp,"Shtetl, My Destroyed Home: A Remembrance (1922)", Issachar Ber Ryback,https://collections.library.yale.edu/catalog/2026550,,Ukraine ,UKR,,
https://publicdomainreview.org/essay/cabinets-of-curiosity-and-the-rise-of-the-gallery-painting/,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Frans_Francken_%28i%29_-_Cabinet_of_a_collector.jpg/960px-Frans_Francken_%28i%29_-_Cabinet_of_a_collector.jpg,Art in Art: Cabinets of Curiosity and the Rise of the Gallery Painting,"Frans Francken the Younger, The Cabinet of a Collector, 1617",https://commons.wikimedia.org/wiki/File:Frans_Francken_(i)_-_Cabinet_of_a_collector.jpg,,Belgium,BEL,,
