More info Artist,Public Domain?
,
" (Hungarian, 1854-1920)",
,
,
" (Dutch, 1856–1932)",
,
" (Norwegian, 1863–1944)",
,
,
"(Swiss, 1741–1807)",
" (American, 1844–1926)",
" (Scottish, 1756–1823)",
"(English, 1834–1918)",
" (American, c. 1763–after 1825)",
"(American, born England, 1822–1902)",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
(active mid-10th century),
", born Cleveland, OH 1868-died Provincetown, MA 1923",
 (active early 1580s–1619),
,
,
 勝川春章 (1726-1792),
", born Auburn, NY 1862-died London, England 1923",
26 Sep 1785 - 18 Mar 1862,
", born Farnsborough, England 1889-died Los Angeles, CA 1938",
", born Wilmington, OH 1879-died San Francisco, CA 1948",
,
 (1853–1928),Yes
,
 (1869–1947),Yes
,
(1866–1944),Yes
,
(1860–1892),
,
,
(1859–1935),Yes
,Yes
,
(1861–1919),Yes
,Yes
,
(1699–1779),Yes
 (–1885),
 (1842–1901),"Tilemahos Efthimiadis, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
,Yes
,Yes
 (1848–1913),Yes
,
,
,
,
 (1835–1910,
,
,Yes
,
,
,Yes
,
 (1847–1935),Yes
 (1847–1935),
(1869–1947),Yes
,
(1860–1935),
,Yes
,
,Yes
,Yes
,
,
,
,
 (1741–1807),Yes
 (1757–1825),
 (1758–),Yes
,
,
 (1842–1910),
,
 (1862–1946),Yes
,Yes
,Yes
,Yes
(1815–1869),
,Yes
