artist_name,country,Location Reason,Author Background,birth_date,death_date,birth_place,work_title,work_url,source,,tags,More info,Public Domain?,iso3,image_path,is_local
,Albania,,,,,,,https://www.flickr.com/photos/library_of_congress/4668751141/in/photolist-5JL8xD-HPfb6u-5bv8GS-5AGqCT-8Gko6v-GWyE1e-8GoADw-7XoAh3-87yz4k-HSeAT8-8BF3Rc-7XkkYK-HSeWeT-k5H3Ws-gLcL8B-7ubpbo-7kuxfs-2fYYCcr-7ubpem-7VEdJz-5bqQRn-7XroYE-2rjiboP,Flickr Commons,,,,,ALB,https://live.staticflickr.com/1284/4668751141_f04a09b65a_b.jpg,false
Théodore Chassériau (1819–1856,Algeria,Firebug traveked ti /akgerua,https://en.wikipedia.org/wiki/Th%C3%A9odore_Chass%C3%A9riau,,,,,https://commons.wikimedia.org/wiki/File:Th%C3%A9odore_Chass%C3%A9riau_-_Woman_and_Little_Girl_of_Constantine_with_a_Gazelle_-_74.265_-_Museum_of_Fine_Arts.jpg,Wiki Commons,,,https://www.wikiart.org/en/theodore-chasseriau/femme-et-fillette-de-constantine-avec-une-gazelle-1851/,,DZA,https://upload.wikimedia.org/wikipedia/commons/d/d2/Th%C3%A9odore_Chass%C3%A9riau_-_Woman_and_Little_Girl_of_Constantine_with_a_Gazelle_-_74.265_-_Museum_of_Fine_Arts.jpg,false
"Jane Sutherland (1853–1928)
",Australia,Australian artist,https://en.wikipedia.org/wiki/Jane_Sutherland,,,,,"https://commons.wikimedia.org/wiki/File:Jane_Sutherland_-_Little_Gossips,_1888.jpg

",Wiki Commons,,,"https://www.wikiart.org/en/jane-sutherland/little-gossips/

",Yes,AUS,"https://commons.wikimedia.org/wiki/File:Jane_Sutherland_-_Little_Gossips,_1888.jpg

",false
Master of Heiligenkreuz Abbey,Austria,,,1301-01-01,1430-01-01,,Virgin with Child,https://commons.wikimedia.org/wiki/Special:FilePath/Meister%20von%20Heiligenkreuz%2C%20Kunsthistorisches%20Museum%20Wien%2C%20Kunstkammer%20Wien%20-%20Verm%C3%A4hlung%20der%20Hl.%20Katharina%2C%20R%C3%BCckseite%2C%20Madonna%20und%20Kind%20-%20GG%206523%20-%20Kunsthistorisches%20Museum.jpg,Wiki Commons,,,,,AUT,https://upload.wikimedia.org/wikipedia/commons/6/64/Meister_von_Heiligenkreuz%2C_Kunsthistorisches_Museum_Wien%2C_Kunstkammer_Wien_-_Verm%C3%A4hlung_der_Hl._Katharina%2C_R%C3%BCckseite%2C_Madonna_und_Kind_-_GG_6523_-_Kunsthistorisches_Museum.jpg,false
,Barbados,,,,,,,https://www.flickr.com/photos/nationalarchives/8022855372/in/photolist-ddXeoC-ddXpjB-9VxJgB-7WwDub-6Ey5XG-2jRjMbB-ddXdXx-ddXdUR-ddXpe2-DPeCPZ-ddXmFb-ddXmu5-ddXpCq-ddXdPk-ddXdkX-ddXefy-ddXedo-ddXcZw-ddXjsC-ddXbSz-czTKUq-7VyJWP-ddXjRQ-czTN3U-ddXdFc-ddXduH-czUHRL-ddXiG8-ddXdQE-czV6xJ-ddXiY7-ddXjqJ-ddXqug-ddXbUx-omDABJ-czTMn1-czTMcY-czTMwQ-czTM8j-czTMBU-ddXdrr-czTMU1-ddXemY-ddXbT5-ddXqiz-7VBUr3-ddXcFj-ddXe7T-7WsRKP-czTLd9,Flickr Commons,,,,,BRB,https://live.staticflickr.com/8454/8022855372_26e8b4afe1_b.jpg,false
Frances Hodgkins (1869–1947),Belgium,"Grew up in New Zealand and moved back, but lived in Europe",https://en.wikipedia.org/wiki/Frances_Hodgkins,,,,,https://commons.wikimedia.org/wiki/File:Frances_Hodgkins_-_Belgian_Mother_and_Child_-_Sarjeant_Gallery.jpg,Wiki Commons,,,,Yes,BEL,https://upload.wikimedia.org/wikipedia/commons/0/09/Frances_Hodgkins_-_Belgian_Mother_and_Child_-_Sarjeant_Gallery.jpg,false
Jakob Smits,Belgium,,,1855-07-09,1928-02-15,Rotterdam,Mater Amabilis,https://commons.wikimedia.org/wiki/Special:FilePath/0020%20Mater%20Amabilis%201895.jpg,Wiki Commons,,,,,BEL,https://upload.wikimedia.org/wikipedia/commons/2/25/0020_Mater_Amabilis_1895.jpg,false
"Peter Paul Rubens (Flemish, 1577–1640)",Belgium,,,,,,The Holy Family with Saints Elizabeth and John the Baptist,"https://www.artic.edu/iiif/2/7c752046-744f-2f68-482b-a7fd42550f2b/full/843,/0/default.jpg",chicago,,,https://www.artic.edu/artworks/27310/the-holy-family-with-saints-elizabeth-and-john-the-baptist,,BEL,"https://www.artic.edu/iiif/2/7c752046-744f-2f68-482b-a7fd42550f2b/full/843,/0/default.jpg",false
,Bolivia,,,,,,,https://www.flickr.com/photos/sdasmarchives/49667146222/in/photolist-8xkEiX-8xoHWS-fq17xs-Gv4HcT-Aexnup-eaBtw9-4jyodF-4jCqKy-n99d76-2iEV7ch-HPeRYN-9Cznf8-HPebUW-9CCd5m-9CCgWC-9Czo3M-HPe8aw-n99ddt-Qwsrp8-Qwssxv-29XHx1N-2ed9F73-fZNq8D-2hU2nYw-fZNwxJ-fZNQK2-fZNQvz-MfNp69-7Nkrqx-2qFCTcD-2qFCTcP-6riVuj-bvrFVf-2qFCTda-6nxVyi-7Ztoky-7Ztom9-7Ztomj-c7LGbs-2qFE8bf-7XiFue-7XmUX9-7XiFux-7XmUWW-2qFE88e-2qFE8bk-2qFE8VT-2qFE8UF-2q7KqcW-2pXo7na,Flickr Commons,,,,,BOL,https://live.staticflickr.com/65535/49667146222_ecd44768be_b.jpg,false
Eliseu Visconti (1866–1944),Brazil,Brazilian artist,https://en.wikipedia.org/wiki/Eliseu_Visconti,,,,,https://commons.wikimedia.org/wiki/File:Eliseu_Visconti_-_Meu_netinho_-_1944.jpg,Wiki Commons,,,https://www.wikiart.org/en/eliseu-visconti/maternidade/,Yes,BRA,https://upload.wikimedia.org/wikipedia/commons/4/4e/Eliseu_Visconti_-_Meu_netinho_-_1944.jpg,false
