iso3,wikipedia_url,http_status,final_url
AFG,https://en.wikipedia.org/wiki/Afghanistan,200,https://en.wikipedia.org/wiki/Afghanistan
ALB,https://en.wikipedia.org/wiki/Albania,200,https://en.wikipedia.org/wiki/Albania
DZA,https://en.wikipedia.org/wiki/Algeria,200,https://en.wikipedia.org/wiki/Algeria
ASM,https://en.wikipedia.org/wiki/American_Samoa,200,https://en.wikipedia.org/wiki/American_Samoa
AND,https://en.wikipedia.org/wiki/Andorra,200,https://en.wikipedia.org/wiki/Andorra
AGO,https://en.wikipedia.org/wiki/Angola,200,https://en.wikipedia.org/wiki/Angola
AIA,https://en.wikipedia.org/wiki/Anguilla,200,https://en.wikipedia.org/wiki/Anguilla
ATA,https://en.wikipedia.org/wiki/Antarctica,200,https://en.wikipedia.org/wiki/Antarctica
ATG,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,200,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
ARG,https://en.wikipedia.org/wiki/Argentina,200,https://en.wikipedia.org/wiki/Argentina
ARM,https://en.wikipedia.org/wiki/Armenia,200,https://en.wikipedia.org/wiki/Armenia
AUS,https://en.wikipedia.org/wiki/Australia,200,https://en.wikipedia.org/wiki/Australia
AUT,https://en.wikipedia.org/wiki/Austria,200,https://en.wikipedia.org/wiki/Austria
AZE,https://en.wikipedia.org/wiki/Azerbaijan,200,https://en.wikipedia.org/wiki/Azerbaijan
BHS,https://en.wikipedia.org/wiki/Bahamas,200,https://en.wikipedia.org/wiki/Bahamas
BHR,https://en.wikipedia.org/wiki/Bahrain,200,https://en.wikipedia.org/wiki/Bahrain
BGD,https://en.wikipedia.org/wiki/Bangladesh,200,https://en.wikipedia.org/wiki/Bangladesh
BRB,https://en.wikipedia.org/wiki/Barbados,200,https://en.wikipedia.org/wiki/Barbados
BLR,https://en.wikipedia.org/wiki/Belarus,200,https://en.wikipedia.org/wiki/Belarus
BEL,https://en.wikipedia.org/wiki/Belgium,200,https://en.wikipedia.org/wiki/Belgium
BLZ,https://en.wikipedia.org/wiki/Belize,200,https://en.wikipedia.org/wiki/Belize
BEN,https://en.wikipedia.org/wiki/Benin,200,https://en.wikipedia.org/wiki/Benin
BMU,https://en.wikipedia.org/wiki/Bermuda,200,https://en.wikipedia.org/wiki/Bermuda
BTN,https://en.wikipedia.org/wiki/Bhutan,200,https://en.wikipedia.org/wiki/Bhutan
BOL,https://en.wikipedia.org/wiki/Bolivia,200,https://en.wikipedia.org/wiki/Bolivia
BES,https://en.wikipedia.org/wiki/Bonaire%2C_Sint_Eustatius_and_Saba,200,https://en.wikipedia.org/wiki/Bonaire%2C_Sint_Eustatius_and_Saba
BIH,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,200,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
BWA,https://en.wikipedia.org/wiki/Botswana,200,https://en.wikipedia.org/wiki/Botswana
BVT,https://en.wikipedia.org/wiki/Bouvet_Island,200,https://en.wikipedia.org/wiki/Bouvet_Island
BRA,https://en.wikipedia.org/wiki/Brazil,200,https://en.wikipedia.org/wiki/Brazil
