Country,Total_Disbursement_USD
World,4657193334.0
Jordan,1027695437.0
Afghanistan,824306085.0
Syria,774332728.0
South Sudan,558829726.0
Ethiopia,432368887.0
Colombia,424347923.0
Democratic Republic of the Congo,413735832.0
Nigeria,412745184.0
Somalia,397952254.0
Iraq,390911384.0
Sudan,295351566.0
Yemen,253641828.0
Ukraine,238463455.0
Bangladesh,237534970.0
Lebanon,232783291.0
Pakistan,231079528.0
Egypt,200143645.0
Uganda,191823646.0
Kenya,169972458.0
Guatemala,144878899.0
Mozambique,141369043.0
Sub-Saharan Africa Region,133908555.0
Burma (Myanmar),130091334.0
Mali,124920952.0
Haiti,123498933.0
Peru,120730735.0
Philippines,117854351.0
Honduras,108933009.0
Tanzania,100167444.0
Venezuela,97253254.0
Nepal,95624283.0
Niger,92654828.0
Middle East and North Africa Region,89258728.0
Tunisia,87594307.0
Zimbabwe,87065995.0
West Africa Region,86408705.0
Malawi,85748716.0
Burkina Faso,80371864.0
Central African Republic,79900189.0
Senegal,78805092.0
Vietnam,76609841.0
Indonesia,73376365.0
Libya,70609998.0
Liberia,67582997.0
Cambodia,61047537.0
Georgia,59741679.0
Rwanda,59209927.0
El Salvador,57901945.0
Bosnia and Herzegovina,56135466.0
South Africa,55189497.0
India,54591588.0
Zambia,50115380.0
Europe Region,47334249.0
Sri Lanka,46730035.0
Ghana,44330909.0
Eastern Europe Region,43866588.0
Chad,43608660.0
Latin America and Caribbean Region,42810062.0
Mexico,39607570.0
Moldova,39334915.0
Ecuador,38922170.0
Eurasia Region,37906472.0
Eastern Asia Region,36630314.0
Cameroon,36558430.0
Oceania Region,35611357.0
Madagascar,33519251.0
Kyrgyzstan,33110033.0
Brazil,31897702.0
Kosovo,30833339.0
West Bank and Gaza,29042874.0
Serbia,28450130.0
Armenia,28290696.0
Nicaragua,27473963.0
Eastern Africa Region,26949229.0
Tajikistan,25684782.0
Morocco,25013585.0
Southern Africa Region,23537657.0
Dominican Republic,23034864.0
Asia Region,23024695.0
Uzbekistan,22661731.0
Central America Region,22387949.0
Laos,20346425.0
Burundi,19225900.0
Timor-Leste,19176554.0
Caribbean Region,17831061.0
Djibouti,14159370.0
Turkey,13487029.0
Cote d'Ivoire,13150953.0
North Macedonia,12776265.0
East Asia and Oceania Region,12202349.0
Austria,11962781.0
Azerbaijan,11667355.0
Sudan (former),10893111.0
Guinea,10305141.0
South and Central Asia Region,10107182.0
Jamaica,10020714.0
Albania,9988968.0
China (P.R.C.),9837260.0
Paraguay,9804431.0
Kazakhstan,9731320.0
Thailand,9009671.0
Bolivia,8996608.0
Cuba,8757090.0
Italy,8546554.0
Belarus,7921128.0
Sierra Leone,7849991.0
Angola,7410983.0
Costa Rica,6985364.0
Europe and Eurasia Region,6228868.0
Mongolia,6039413.0
Malaysia,5796199.0
Papua New Guinea,5475104.0
Mauritania,5434364.0
Benin,5011131.0
Congo,4793861.0
Bahamas,4651568.0
Western Hemisphere Region,4507939.0
Turkmenistan,3845907.0
"Micronesia, Federated States of",3760459.0
Middle East Region,3353951.0
Algeria,3295780.0
Namibia,3146270.0
Panama,2861630.0
Israel,2842341.0
Botswana,2573770.0
Maldives,2567407.0
Lesotho,2464624.0
Gabon,2256644.0
Hungary,2173989.0
Eswatini,2034214.0
Montenegro,1865518.0
Czechia,1465157.0
Southern Asia Region,1461172.0
South America Region,1366941.0
Dominica,1309768.0
Kuwait,1309197.0
Canada,1180705.0
Solomon Islands,1129525.0
Belize,1057453.0
Fiji,990052.0
Romania,970687.0
Vanuatu,864189.0
Croatia,857460.0
Argentina,695903.0
Equatorial Guinea,635130.0
Bhutan,633021.0
Greece,625908.0
Marshall Islands,502860.0
Tonga,471297.0
North Africa Region,452257.0
Trinidad and Tobago,441299.0
St. Vincent and Grenadines,367895.0
Togo,344906.0
Gambia,337706.0
Palau,318226.0
Latvia,304991.0
Central America and Caribbean Region,257423.0
South East Asia Region,252740.0
"Korea, Republic of",244992.0
Cabo Verde,193054.0
Greenland,177387.0
Bulgaria,175285.0
Taiwan,175129.0
North and Central America Region,164094.0
Slovenia,154376.0
Suriname,150000.0
Netherlands,143521.0
Lithuania,140000.0
Japan,126448.0
Guyana,95960.0
United Arab Emirates,94465.0
Mauritius,77073.0
Comoros,57427.0
Chile,45000.0
Samoa,43487.0
Guinea-Bissau,41636.0
Belgium,34609.0
Sao Tome and Principe,31686.0
Barbados,11547.0
Bahrain,6977.0
"Asia, Middle East and North Africa Region",2750.0
Seychelles,2500.0
Saudi Arabia,1273.0
