Country_Code,Country,Per_Capita_USD,Total_Disbursement_USD,Population
JOR,Jordan,92.87,1027695437.0,11066356
SSD,South Sudan,51.43,558829726.0,10865780
LBN,Lebanon,40.71,232783291.0,5718122
SYR,Syria,35.80,774332728.0,21628839
FSM,"Micronesia, Federated States of",33.69,3760459.0,111624
SOM,Somalia,23.04,397952254.0,17271431
AFG,Afghanistan,20.61,824306085.0,40000412
DMA,Dominica,19.49,1309768.0,67202
PLW,Palau,17.89,318226.0,17783
BIH,Bosnia and Herzegovina,17.30,56135466.0,3244907
XKX,Kosovo,17.26,30833339.0,1786079
GEO,Georgia,16.11,59741679.0,3708610
CAF,Central African Republic,15.63,79900189.0,5112100
MDA,Moldova,15.15,39334915.0,2595809
TLS,Timor-Leste,14.20,19176554.0,1350139
LBR,Liberia,12.85,67582997.0,5259323
DJI,Djibouti,12.63,14159370.0,1121248
MHL,Marshall Islands,12.16,502860.0,41367
BHS,Bahamas,11.74,4651568.0,396373
HTI,Haiti,10.86,123498933.0,11374586
HND,Honduras,10.59,108933009.0,10289877
LBY,Libya,9.90,70609998.0,7135175
ARM,Armenia,9.55,28290696.0,2962300
SLV,El Salvador,9.26,57901945.0,6255782
IRQ,Iraq,9.08,390911384.0,43071211
COL,Colombia,8.29,424347923.0,51188173
GTM,Guatemala,8.23,144878899.0,17598650
TUN,Tunisia,7.27,87594307.0,12048622
MKD,North Macedonia,6.95,12776265.0,1837114
YEM,Yemen,6.83,253641828.0,37140230
SDN,Sudan,6.37,306244677.0,48066924
PSE,West Bank and Gaza,5.90,29042874.0,4922749
MLI,Mali,5.58,124920952.0,22388630
ZWE,Zimbabwe,5.51,87065995.0,15797210
UKR,Ukraine,5.38,238463455.0,44298640
MDV,Maldives,4.97,2567407.0,516154
KGZ,Kyrgyzstan,4.83,33110033.0,6851224
SEN,Senegal,4.58,78805092.0,17220867
TON,Tonga,4.47,471297.0,105490
MOZ,Mozambique,4.46,141369043.0,31707800
RWA,Rwanda,4.43,59209927.0,13355260
MWI,Malawi,4.28,85748716.0,20047258
