Country_Code,Country,US_Category,US_Sector,Total_Disbursement_USD,Population,Per_Capita_USD
AFG,Afghanistan,"Democracy, Human Rights, and Governance",Good Governance,223175685.0,40000412,5.58
AFG,Afghanistan,Humanitarian Assistance,"Protection, Assistance and Solutions",183320037.0,40000412,4.58
AFG,Afghanistan,Program Support,Direct Administrative Costs,97027797.0,40000412,2.43
AFG,Afghanistan,Economic Development,Infrastructure,94080204.0,40000412,2.35
AFG,Afghanistan,Economic Development,Agriculture,59083859.0,40000412,1.48
AFG,Afghanistan,Education and Social Services,Basic Education,30611496.0,40000412,0.77
AFG,Afghanistan,Economic Development,Trade and Investment,22229499.0,40000412,0.56
AFG,Afghanistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,17503344.0,40000412,0.44
AFG,Afghanistan,Education and Social Services,Higher Education,14835693.0,40000412,0.37
AFG,Afghanistan,Health,Maternal and Child Health,11832661.0,40000412,0.30
AFG,Afghanistan,Health,Water Supply and Sanitation,9441743.0,40000412,0.24
AFG,Afghanistan,Multi-sector,Multi-sector - Unspecified,8301300.0,40000412,0.21
AFG,Afghanistan,Education and Social Services,"Policies, Regulations, and Systems",7577112.0,40000412,0.19
AFG,Afghanistan,Health,Family Planning and Reproductive Health,6635452.0,40000412,0.17
AFG,Afghanistan,Economic Development,Financial Sector,4909454.0,40000412,0.12
AFG,Afghanistan,Peace and Security,Conflict Mitigation and Reconciliation,4767554.0,40000412,0.12
AFG,Afghanistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,3630958.0,40000412,0.09
AFG,Afghanistan,Health,Nutrition,3533635.0,40000412,0.09
AFG,Afghanistan,Health,Tuberculosis,3467283.0,40000412,0.09
AFG,Afghanistan,Health,Other Public Health Threats,3447257.0,40000412,0.09
AFG,Afghanistan,Economic Development,Private Sector Competitiveness,3157784.0,40000412,0.08
AFG,Afghanistan,"Democracy, Human Rights, and Governance",Civil Society,2949483.0,40000412,0.07
AFG,Afghanistan,Peace and Security,Counter-Narcotics,2519257.0,40000412,0.06
AFG,Afghanistan,Economic Development,Macroeconomic Foundation for Growth,2493473.0,40000412,0.06
AFG,Afghanistan,Health,Pandemic Influenza and Other Emerging Threats (PIOET),2177449.0,40000412,0.05
AFG,Afghanistan,Environment,Clean Productive Environment,1593744.0,40000412,0.04
AFG,Afghanistan,Peace and Security,Transnational Crime,2872.0,40000412,0.00
AGO,Angola,Program Support,Direct Administrative Costs,2705627.0,34532429,0.08
AGO,Angola,Humanitarian Assistance,"Protection, Assistance and Solutions",2412566.0,34532429,0.07
AGO,Angola,Health,Pandemic Influenza and Other Emerging Threats (PIOET),570000.0,34532429,0.02
AGO,Angola,Health,Malaria,518972.0,34532429,0.02
AGO,Angola,Economic Development,Macroeconomic Foundation for Growth,482000.0,34532429,0.01
AGO,Angola,"Democracy, Human Rights, and Governance",Civil Society,370025.0,34532429,0.01
AGO,Angola,Economic Development,Agriculture,141594.0,34532429,0.00
AGO,Angola,Health,Water Supply and Sanitation,140895.0,34532429,0.00
AGO,Angola,Peace and Security,Conflict Mitigation and Reconciliation,45000.0,34532429,0.00
AGO,Angola,Multi-sector,Multi-sector - Unspecified,30000.0,34532429,0.00
AGO,Angola,"Democracy, Human Rights, and Governance",Good Governance,-5696.0,34532429,-0.00
ALB,Albania,Health,Pandemic Influenza and Other Emerging Threats (PIOET),2000000.0,2811666,0.71
