Sector,Total_Disbursement_USD,Per_Capita_USD
Emergency Response,4662821241.0,0.29
Operating Expenses,3243230892.0,0.20
HIV/AIDS,2056244808.0,0.13
Government and Civil Society,1441083850.0,0.09
Agriculture,857755972.0,0.05
Basic Health,702162275.0,0.04
Basic Education,656917357.0,0.04
Other Multisector,467542814.0,0.03
"Conflict, Peace, and Security",424047761.0,0.03
General Environmental Protection,339532172.0,0.02
Energy,339314660.0,0.02
Water Supply and Sanitation,326586700.0,0.02
Business and Other Services,315512407.0,0.02
Disaster Prevention and Preparedness,187015333.0,0.01
Post-Secondary Education,143173097.0,0.01
Trade Policy and Regulations,127477455.0,0.01
Banking and Financial Services,113432272.0,0.01
Other Social Infrastructure and Services,105669118.0,0.01
"Maternal and Child Health, Family Planning",62287065.0,0.00
"Education, Level Unspecified",35284350.0,0.00
Program Design and Learning,27826600.0,0.00
Transport and Storage,20756454.0,0.00
Upper Secondary Education,10126809.0,0.00
General Budget Support,8934922.0,0.00
Industry,8248372.0,0.00
Administration and Oversight,7619444.0,0.00
Communications,7164886.0,0.00
"Health, General",3559986.0,0.00
Unallocated/ Unspecified,2530680.0,0.00
Mineral Resources and Mining,393530.0,0.00
Tourism,362645.0,0.00
Non-communicable diseases (NCDs),39934.0,0.00
