Country_Code,Country,Sector,Purpose,Total_Disbursement_USD,Population,Per_Capita_USD
AFG,Afghanistan,Government and Civil Society,Public sector policy and administrative management,210602219.0,40000412,5.27
AFG,Afghanistan,Emergency Response,Relief co-ordination; protection and support services,147311402.0,40000412,3.68
AFG,Afghanistan,Energy,Energy policy and administrative management,94721507.0,40000412,2.37
AFG,Afghanistan,Operating Expenses,Operating Expenses,45315059.0,40000412,1.13
AFG,Afghanistan,Other Multisector,Multisector aid,45257265.0,40000412,1.13
AFG,Afghanistan,Agriculture,Agricultural policy and administrative management,38426287.0,40000412,0.96
AFG,Afghanistan,Emergency Response,Emergency food assistance,23974779.0,40000412,0.60
AFG,Afghanistan,Basic Education,Primary education,22902372.0,40000412,0.57
AFG,Afghanistan,Agriculture,Agricultural development,18657572.0,40000412,0.47
AFG,Afghanistan,Basic Health,COVID-19 control,17879236.0,40000412,0.45
AFG,Afghanistan,Trade Policy and Regulations,Trade policy and administrative management,17812239.0,40000412,0.45
AFG,Afghanistan,Government and Civil Society,Legal and judicial development,17503344.0,40000412,0.44
AFG,Afghanistan,"Maternal and Child Health, Family Planning",Reproductive health care,16503619.0,40000412,0.41
AFG,Afghanistan,Post-Secondary Education,Higher education,14812451.0,40000412,0.37
AFG,Afghanistan,Program Design and Learning,Program Design and Learning,10648595.0,40000412,0.27
AFG,Afghanistan,Other Social Infrastructure and Services,Social Protection,7577112.0,40000412,0.19
AFG,Afghanistan,Government and Civil Society,Anti-corruption organisations and institutions,7274250.0,40000412,0.18
AFG,Afghanistan,Water Supply and Sanitation,Basic drinking water supply,5295637.0,40000412,0.13
AFG,Afghanistan,Government and Civil Society,Decentralisation and support to subnational government,5266985.0,40000412,0.13
AFG,Afghanistan,Banking and Financial Services,Financial policy and administrative management,4909454.0,40000412,0.12
AFG,Afghanistan,Agriculture,Agricultural alternative development,4519257.0,40000412,0.11
AFG,Afghanistan,"Conflict, Peace, and Security","Civilian peace-building, conflict prevention and resolution",4483167.0,40000412,0.11
AFG,Afghanistan,Trade Policy and Regulations,Trade facilitation,4417260.0,40000412,0.11
AFG,Afghanistan,Basic Health,Infectious disease control,4229755.0,40000412,0.11
AFG,Afghanistan,Water Supply and Sanitation,Water supply - large systems,3964827.0,40000412,0.10
AFG,Afghanistan,Basic Health,Basic nutrition,3533635.0,40000412,0.09
AFG,Afghanistan,Basic Education,Basic life skills for adults,3417131.0,40000412,0.09
AFG,Afghanistan,Government and Civil Society,Elections,3296173.0,40000412,0.08
AFG,Afghanistan,Basic Health,Tuberculosis control,3200284.0,40000412,0.08
AFG,Afghanistan,Business and Other Services,Business Policy and Administation,3157784.0,40000412,0.08
AFG,Afghanistan,Government and Civil Society,Democratic participation and civil society,2909379.0,40000412,0.07
AFG,Afghanistan,Upper Secondary Education,Vocational training,2747871.0,40000412,0.07
AFG,Afghanistan,General Environmental Protection,Environmental policy and administrative management,2493473.0,40000412,0.06
AFG,Afghanistan,"Maternal and Child Health, Family Planning",Family planning,1645866.0,40000412,0.04
AFG,Afghanistan,General Environmental Protection,Bio-diversity,1346905.0,40000412,0.03
AFG,Afghanistan,Upper Secondary Education,Upper Secondary education,1344122.0,40000412,0.03
AFG,Afghanistan,Basic Health,Basic health care,624951.0,40000412,0.02
AFG,Afghanistan,General Environmental Protection,Biosphere protection,246839.0,40000412,0.01
AFG,Afghanistan,Government and Civil Society,Legislatures and political parties,215640.0,40000412,0.01
AFG,Afghanistan,Water Supply and Sanitation,Water supply and sanitation - large systems,203245.0,40000412,0.01
AFG,Afghanistan,"Education, Level Unspecified",Education policy and administrative management,200000.0,40000412,0.00
AFG,Afghanistan,Administration and Oversight,Administration and Oversight,63392.0,40000412,0.00
AFG,Afghanistan,"Health, General",Health policy and administrative management,41006.0,40000412,0.00
AFG,Afghanistan,Emergency Response,Material relief assistance and services,38197.0,40000412,0.00
AFG,Afghanistan,HIV/AIDS,STD control including HIV/AIDS,20696.0,40000412,0.00
AFG,Afghanistan,"Maternal and Child Health, Family Planning",Population policy and administrative management,10032.0,40000412,0.00
AFG,Afghanistan,Government and Civil Society,"Women’s rights organisations and movements, and government institutions",4117.0,40000412,0.00
AFG,Afghanistan,Government and Civil Society,Human rights,2872.0,40000412,0.00
AFG,Afghanistan,Government and Civil Society,Media and free flow of information,2703.0,40000412,0.00
AFG,Afghanistan,Water Supply and Sanitation,Basic drinking water supply and basic sanitation,-21966.0,40000412,-0.00
AFG,Afghanistan,Government and Civil Society,Public finance management,-62609.0,40000412,-0.00
AFG,Afghanistan,Transport and Storage,Transport policy and administrative management,-641303.0,40000412,-0.02
AGO,Angola,Operating Expenses,Operating Expenses,2705627.0,34532429,0.08
AGO,Angola,Emergency Response,Relief co-ordination; protection and support services,1507656.0,34532429,0.04
AGO,Angola,Emergency Response,Emergency food assistance,904910.0,34532429,0.03
AGO,Angola,Basic Health,COVID-19 control,570000.0,34532429,0.02
AGO,Angola,Basic Health,Malaria control,518972.0,34532429,0.02
AGO,Angola,Government and Civil Society,Public sector policy and administrative management,482000.0,34532429,0.01
AGO,Angola,Government and Civil Society,Democratic participation and civil society,370025.0,34532429,0.01
AGO,Angola,Agriculture,Agricultural policy and administrative management,141594.0,34532429,0.00
AGO,Angola,Water Supply and Sanitation,River basins' development,100995.0,34532429,0.00
AGO,Angola,"Conflict, Peace, and Security","Civilian peace-building, conflict prevention and resolution",45000.0,34532429,0.00
AGO,Angola,Water Supply and Sanitation,Water supply and sanitation - large systems,39900.0,34532429,0.00
AGO,Angola,Other Multisector,Multisector aid,30000.0,34532429,0.00
AGO,Angola,Government and Civil Society,Decentralisation and support to subnational government,-5696.0,34532429,-0.00
ALB,Albania,Government and Civil Society,Democratic participation and civil society,2096772.0,2811666,0.75
ALB,Albania,Basic Health,COVID-19 control,2000000.0,2811666,0.71
ALB,Albania,Government and Civil Society,Legal and judicial development,1363499.0,2811666,0.48
ALB,Albania,Other Multisector,Multisector aid,1199223.0,2811666,0.43
ALB,Albania,Operating Expenses,Operating Expenses,852650.0,2811666,0.30
ALB,Albania,Banking and Financial Services,Financial policy and administrative management,672388.0,2811666,0.24
ALB,Albania,"Conflict, Peace, and Security",Prevention of Violent Extremism,364500.0,2811666,0.13
ALB,Albania,Government and Civil Society,"Facilitation of orderly, safe, regular and responsible migration and mobility",341181.0,2811666,0.12
ALB,Albania,Business and Other Services,Business Policy and Administation,315609.0,2811666,0.11
ALB,Albania,Government and Civil Society,Media and free flow of information,304360.0,2811666,0.11
ALB,Albania,"Education, Level Unspecified",Education policy and administrative management,190000.0,2811666,0.07
ALB,Albania,Government and Civil Society,Anti-corruption organisations and institutions,82262.0,2811666,0.03
ALB,Albania,Emergency Response,Relief co-ordination; protection and support services,76000.0,2811666,0.03
ALB,Albania,Non-communicable diseases (NCDs),Other prevention and treatment of NCDs,39934.0,2811666,0.01
ALB,Albania,Government and Civil Society,Ending violence against women and girls,39000.0,2811666,0.01
ALB,Albania,Government and Civil Society,Human rights,38000.0,2811666,0.01
ALB,Albania,Government and Civil Society,Public sector policy and administrative management,8642.0,2811666,0.00
ALB,Albania,Government and Civil Society,Decentralisation and support to subnational government,5198.0,2811666,0.00
ALB,Albania,Government and Civil Society,Countering violent extremism,-250.0,2811666,-0.00
ARE,United Arab Emirates,Disaster Prevention and Preparedness,Multi-hazard response preparedness,94465.0,9575152,0.01
ARG,Argentina,Operating Expenses,Operating Expenses,695903.0,45312281,0.02
ARM,Armenia,Government and Civil Society,Democratic participation and civil society,9357607.0,2962300,3.16
ARM,Armenia,Operating Expenses,Operating Expenses,6424623.0,2962300,2.17
ARM,Armenia,Business and Other Services,Business Policy and Administation,4148974.0,2962300,1.40
ARM,Armenia,Government and Civil Society,Public finance management,2163403.0,2962300,0.73
ARM,Armenia,Energy,Energy policy and administrative management,2129652.0,2962300,0.72
ARM,Armenia,Other Multisector,Multisector aid,719199.0,2962300,0.24
ARM,Armenia,Emergency Response,Emergency food assistance,714870.0,2962300,0.24
ARM,Armenia,Post-Secondary Education,Higher education,648669.0,2962300,0.22
ARM,Armenia,Government and Civil Society,Media and free flow of information,523256.0,2962300,0.18
ARM,Armenia,Basic Health,Basic health care,454545.0,2962300,0.15
ARM,Armenia,Other Social Infrastructure and Services,Social Protection,328448.0,2962300,0.11
ARM,Armenia,Upper Secondary Education,Upper Secondary education,150000.0,2962300,0.05
ARM,Armenia,Other Multisector,Multisector education/training,120508.0,2962300,0.04
ARM,Armenia,Emergency Response,Relief co-ordination; protection and support services,100000.0,2962300,0.03
ARM,Armenia,"Education, Level Unspecified",Education policy and administrative management,93988.0,2962300,0.03
ARM,Armenia,Program Design and Learning,Program Design and Learning,54894.0,2962300,0.02
ARM,Armenia,Government and Civil Society,Legal and judicial development,46834.0,2962300,0.02
ARM,Armenia,"Education, Level Unspecified",Education facilities and training,39600.0,2962300,0.01
ARM,Armenia,"Conflict, Peace, and Security","Civilian peace-building, conflict prevention and resolution",30000.0,2962300,0.01
ARM,Armenia,General Environmental Protection,Environmental research,28972.0,2962300,0.01
ARM,Armenia,Government and Civil Society,Fight against transnational organised crime,5600.0,2962300,0.00
ARM,Armenia,Other Multisector,Research/scientific institutions,5000.0,2962300,0.00
